World Series,National League,NL Wins,American League,AL Wins,Links
1972 World Series,Cincinnati Reds,3,Oakland Athletics,4,https://www.baseball-almanac.com/ws/yr1972ws.shtml
1973 World Series,New York Mets,3,Oakland Athletics,4,https://www.baseball-almanac.com/ws/yr1973ws.shtml
1974 World Series,Los Angeles Dodgers,1,Oakland Athletics,4,https://www.baseball-almanac.com/ws/yr1974ws.shtml
1975 World Series,Cincinnati Reds,4,Boston Red Sox,3,https://www.baseball-almanac.com/ws/yr1975ws.shtml
1976 World Series,Cincinnati Reds,4,New York Yankees,0,https://www.baseball-almanac.com/ws/yr1976ws.shtml
1977 World Series,Los Angeles Dodgers,2,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1977ws.shtml
1978 World Series,Los Angeles Dodgers,2,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1978ws.shtml
1979 World Series,Pittsburgh Pirates,4,Baltimore Orioles,3,https://www.baseball-almanac.com/ws/yr1979ws.shtml
1980 World Series,Philadelphia Phillies,4,Kansas City Royals,2,https://www.baseball-almanac.com/ws/yr1980ws.shtml
1981 World Series,Los Angeles Dodgers,4,New York Yankees,2,https://www.baseball-almanac.com/ws/yr1981ws.shtml
1982 World Series,St. Louis Cardinals,4,Milwaukee Brewers,3,https://www.baseball-almanac.com/ws/yr1982ws.shtml
1983 World Series,Philadelphia Phillies,1,Baltimore Orioles,4,https://www.baseball-almanac.com/ws/yr1983ws.shtml
1984 World Series,San Diego Padres,1,Detroit Tigers,4,https://www.baseball-almanac.com/ws/yr1984ws.shtml
1985 World Series,St. Louis Cardinals,3,Kansas City Royals,4,https://www.baseball-almanac.com/ws/yr1985ws.shtml
1986 World Series,New York Mets,4,Boston Red Sox,3,https://www.baseball-almanac.com/ws/yr1986ws.shtml
1987 World Series,St. Louis Cardinals,3,Minnesota Twins,4,https://www.baseball-almanac.com/ws/yr1987ws.shtml
1988 World Series,Los Angeles Dodgers,4,Oakland Athletics,1,https://www.baseball-almanac.com/ws/yr1988ws.shtml
1989 World Series,San Francisco Giants,0,Oakland Athletics,4,https://www.baseball-almanac.com/ws/yr1989ws.shtml
1990 World Series,Cincinnati Reds,4,Oakland Athletics,0,https://www.baseball-almanac.com/ws/yr1990ws.shtml
1991 World Series,Atlanta Braves,3,Minnesota Twins,4,https://www.baseball-almanac.com/ws/yr1991ws.shtml
1992 World Series,Atlanta Braves,2,Toronto Blue Jays,4,https://www.baseball-almanac.com/ws/yr1992ws.shtml
1993 World Series,Philadelphia Phillies,2,Toronto Blue Jays,4,https://www.baseball-almanac.com/ws/yr1993ws.shtml
1994 World Series,No Series (Strike Year),--,No Series (Strike Year),--,
1995 World Series,Atlanta Braves,4,Cleveland Indians,2,https://www.baseball-almanac.com/ws/yr1995ws.shtml
1996 World Series,Atlanta Braves,2,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1996ws.shtml
1997 World Series,Florida Marlins,4,Cleveland Indians,3,https://www.baseball-almanac.com/ws/yr1997ws.shtml
1998 World Series,San Diego Padres,0,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1998ws.shtml
1999 World Series,Atlanta Braves,0,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1999ws.shtml
2000 World Series,New York Mets,1,New York Yankees,4,https://www.baseball-almanac.com/ws/yr2000ws.shtml
2001 World Series,Arizona Diamondbacks,4,New York Yankees,3,https://www.baseball-almanac.com/ws/yr2001ws.shtml
2002 World Series,San Francisco Giants,3,Anaheim Angels,4,https://www.baseball-almanac.com/ws/yr2002ws.shtml
2003 World Series,Florida Marlins,4,New York Yankees,2,https://www.baseball-almanac.com/ws/yr2003ws.shtml
2004 World Series,St. Louis Cardinals,0,Boston Red Sox,4,https://www.baseball-almanac.com/ws/yr2004ws.shtml
2005 World Series,Houston Astros,0,Chicago White Sox,4,https://www.baseball-almanac.com/ws/yr2005ws.shtml
2006 World Series,St. Louis Cardinals,4,Detroit Tigers,1,https://www.baseball-almanac.com/ws/yr2006ws.shtml
2007 World Series,Colorado Rockies,0,Boston Red Sox,4,https://www.baseball-almanac.com/ws/yr2007ws.shtml
2008 World Series,Philadelphia Phillies,4,Tampa Bay Rays,1,https://www.baseball-almanac.com/ws/yr2008ws.shtml
2009 World Series,Philadelphia Phillies,2,New York Yankees,4,https://www.baseball-almanac.com/ws/yr2009ws.shtml
2010 World Series,San Francisco Giants,4,Texas Rangers,1,https://www.baseball-almanac.com/ws/yr2010ws.shtml
2011 World Series,St. Louis Cardinals,4,Texas Rangers,3,https://www.baseball-almanac.com/ws/yr2011ws.shtml
2012 World Series,San Francisco Giants,4,Detroit Tigers,0,https://www.baseball-almanac.com/ws/yr2012ws.shtml
2013 World Series,St. Louis Cardinals,2,Boston Red Sox,4,https://www.baseball-almanac.com/ws/yr2013ws.shtml
2014 World Series,San Francisco Giants,4,Kansas City Royals,3,https://www.baseball-almanac.com/ws/yr2014ws.shtml
2015 World Series,New York Mets,1,Kansas City Royals,4,https://www.baseball-almanac.com/ws/yr2015ws.shtml
2016 World Series,Chicago Cubs,4,Cleveland Indians,3,https://www.baseball-almanac.com/ws/yr2016ws.shtml
2017 World Series,Los Angeles Dodgers,3,Houston Astros,4,https://www.baseball-almanac.com/ws/yr2017ws.shtml
2018 World Series,Los Angeles Dodgers,1,Boston Red Sox,4,https://www.baseball-almanac.com/ws/yr2018ws.shtml
2019 World Series,Washington Nationals,4,Houston Astros,3,https://www.baseball-almanac.com/ws/yr2019ws.shtml
2020 World Series,Los Angeles Dodgers,4,Tampa Bay Rays,2,https://www.baseball-almanac.com/ws/yr2020ws.shtml
2021 World Series,Atlanta Braves,4,Houston Astros,2,https://www.baseball-almanac.com/ws/yr2021ws.shtml
2022 World Series,Philadelphia Phillies,2,Houston Astros,4,https://www.baseball-almanac.com/ws/yr2022ws.shtml
2023 World Series,Arizona Diamondbacks,1,Texas Rangers,4,https://www.baseball-almanac.com/ws/yr2023ws.shtml
2024 World Series,Los Angeles Dodgers,4,New York Yankees,1,https://www.baseball-almanac.com/ws/yr2024ws.shtml
2025 World Series,To Be Determined,x,To Be Determined,x,https://www.baseball-almanac.com/ws/yr2025ws.shtml
