World Series,Team 1,Team 1 Pitchers,Team 1 Pitchers Links,Team 1 wins,Team 2,Team 2 Pitchers,Team 2 Pitchers Links,Team 2 wins,Links
1914 World Series,Composite Pitching Statistics,['Bill James\nDick Rudolph\nLefty Tyler'],"[['https://www.baseball-almanac.com/players/player.php?p=jamesbi02', 'https://www.baseball-almanac.com/players/player.php?p=rudoldi01', 'https://www.baseball-almanac.com/players/player.php?p=tylerle01']]",4,Composite Hitting Statistics,['Chief Bender\nJoe Bush\nHerb Pennock\nEddie Plank\nBob Shawkey\nWeldon Wyckoff'],"[['https://www.baseball-almanac.com/players/player.php?p=bendech01', 'https://www.baseball-almanac.com/players/player.php?p=bushjo01', 'https://www.baseball-almanac.com/players/player.php?p=pennohe01', 'https://www.baseball-almanac.com/players/player.php?p=planked01', 'https://www.baseball-almanac.com/players/player.php?p=shawkbo01', 'https://www.baseball-almanac.com/players/player.php?p=wyckowe01']]",0,https://www.baseball-almanac.com/ws/yr1914ws.shtml
1915 World Series,Boston Red Sox 1915 World Series Composite Pitching Statistics,['Rube Foster\nDutch Leonard\nErnie Shore'],"[['https://www.baseball-almanac.com/players/player.php?p=fosteru01', 'https://www.baseball-almanac.com/players/player.php?p=leonadu01', 'https://www.baseball-almanac.com/players/player.php?p=shoreer01']]",4,Philadelphia Phillies 1915 World Series Composite Pitching Statistics,['Grover Alexander\nGeorge Chalmers\nErskine Mayer\nEppa Rixey'],"[['https://www.baseball-almanac.com/players/player.php?p=alexape01', 'https://www.baseball-almanac.com/players/player.php?p=chalmge01', 'https://www.baseball-almanac.com/players/player.php?p=mayerer01', 'https://www.baseball-almanac.com/players/player.php?p=rixeyep01']]",1,https://www.baseball-almanac.com/ws/yr1915ws.shtml
1916 World Series,Boston Red Sox 1916 World Series Composite Pitching Statistics,['Rube Foster\nDutch Leonard\nCarl Mays\nBabe Ruth\nErnie Shore'],"[['https://www.baseball-almanac.com/players/player.php?p=fosteru01', 'https://www.baseball-almanac.com/players/player.php?p=leonadu01', 'https://www.baseball-almanac.com/players/player.php?p=maysca01', 'https://www.baseball-almanac.com/players/player.php?p=ruthba01', 'https://www.baseball-almanac.com/players/player.php?p=shoreer01']]",4,Brooklyn Robins 1916 World Series Composite Pitching Statistics,['Larry Cheney\nJack Coombs\nWheezer Dell\nRube Marquard\nJeff Pfeffer\nNap Rucker\nSherry Smith'],"[['https://www.baseball-almanac.com/players/player.php?p=chenela01', 'https://www.baseball-almanac.com/players/player.php?p=coombja01', 'https://www.baseball-almanac.com/players/player.php?p=dellwh01', 'https://www.baseball-almanac.com/players/player.php?p=marquru01', 'https://www.baseball-almanac.com/players/player.php?p=pfeffje01', 'https://www.baseball-almanac.com/players/player.php?p=ruckena01', 'https://www.baseball-almanac.com/players/player.php?p=smithsh01']]",1,https://www.baseball-almanac.com/ws/yr1916ws.shtml
1917 World Series,Chicago White Sox 1917 World Series Composite Pitching Statistics,['Eddie Cicotte\nDave Danforth\nRed Faber\nReb Russell\nLefty Williams'],"[['https://www.baseball-almanac.com/players/player.php?p=cicoted01', 'https://www.baseball-almanac.com/players/player.php?p=danfoda01', 'https://www.baseball-almanac.com/players/player.php?p=faberre01', 'https://www.baseball-almanac.com/players/player.php?p=russere01', 'https://www.baseball-almanac.com/players/player.php?p=willile01']]",4,New York Giants 1917 World Series Composite Pitching Statistics,['Fred Anderson\nRube Benton\nPol Perritt\nSlim Sallee\nFerdie Schupp\nJeff Tesreau'],"[['https://www.baseball-almanac.com/players/player.php?p=anderfr01', 'https://www.baseball-almanac.com/players/player.php?p=bentoru01', 'https://www.baseball-almanac.com/players/player.php?p=perripo01', 'https://www.baseball-almanac.com/players/player.php?p=sallesl01', 'https://www.baseball-almanac.com/players/player.php?p=schupfe01', 'https://www.baseball-almanac.com/players/player.php?p=tesreje01']]",2,https://www.baseball-almanac.com/ws/yr1917ws.shtml
1918 World Series,Boston Red Sox 1918 World Series Composite Pitching Statistics,['Joe Bush\nSam Jones\nCarl Mays\nBabe Ruth'],"[['https://www.baseball-almanac.com/players/player.php?p=bushjo01', 'https://www.baseball-almanac.com/players/player.php?p=jonessa01', 'https://www.baseball-almanac.com/players/player.php?p=maysca01', 'https://www.baseball-almanac.com/players/player.php?p=ruthba01']]",4,Chicago Cubs 1918 World Series Composite Pitching Statistics,['Phil Douglas\nClaude Hendrix\nLefty Tyler\nHippo Vaughn'],"[['https://www.baseball-almanac.com/players/player.php?p=douglph01', 'https://www.baseball-almanac.com/players/player.php?p=hendrcl01', 'https://www.baseball-almanac.com/players/player.php?p=tylerle01', 'https://www.baseball-almanac.com/players/player.php?p=vaughhi01']]",2,https://www.baseball-almanac.com/ws/yr1918ws.shtml
1919 World Series,Cincinnati Reds 1919 World Series Composite Pitching Statistics,['Hod Eller\nRay Fisher\nDolf Luque\nJimmy Ring\nDutch Ruether\nSlim Sallee'],"[['https://www.baseball-almanac.com/players/player.php?p=ellerho01', 'https://www.baseball-almanac.com/players/player.php?p=fishera01', 'https://www.baseball-almanac.com/players/player.php?p=luquedo01', 'https://www.baseball-almanac.com/players/player.php?p=ringji01', 'https://www.baseball-almanac.com/players/player.php?p=ruethdu01', 'https://www.baseball-almanac.com/players/player.php?p=sallesl01']]",5,Chicago White Sox 1919 World Series Composite Pitching Statistics,['Eddie Cicotte\nBill James\nDickie Kerr\nGrover Lowdermilk\nErskine Mayer\nRoy Wilkinson\nLefty Williams'],"[['https://www.baseball-almanac.com/players/player.php?p=cicoted01', 'https://www.baseball-almanac.com/players/player.php?p=jamesbi01', 'https://www.baseball-almanac.com/players/player.php?p=kerrdi01', 'https://www.baseball-almanac.com/players/player.php?p=lowdegr01', 'https://www.baseball-almanac.com/players/player.php?p=mayerer01', 'https://www.baseball-almanac.com/players/player.php?p=wilkiro01', 'https://www.baseball-almanac.com/players/player.php?p=willile01']]",3,https://www.baseball-almanac.com/ws/yr1919ws.shtml
1920 World Series,Cleveland Indians 1920 World Series Composite Pitching Statistics,['Jim Bagby\nRay Caldwell\nStan Coveleski\nDuster Mails\nGeorge Uhle'],"[['https://www.baseball-almanac.com/players/player.php?p=bagbyji01', 'https://www.baseball-almanac.com/players/player.php?p=caldwra02', 'https://www.baseball-almanac.com/players/player.php?p=covelst01', 'https://www.baseball-almanac.com/players/player.php?p=mailsdu01', 'https://www.baseball-almanac.com/players/player.php?p=uhlege01']]",5,Brooklyn Robins 1920 World Series Composite Pitching Statistics,['Leon Cadore\nBurleigh Grimes\nAl Mamaux\nRube Marquard\nClarence Mitchell\nJeff Pfeffer\nSherry Smith'],"[['https://www.baseball-almanac.com/players/player.php?p=cadorle01', 'https://www.baseball-almanac.com/players/player.php?p=grimebu01', 'https://www.baseball-almanac.com/players/player.php?p=mamaual01', 'https://www.baseball-almanac.com/players/player.php?p=marquru01', 'https://www.baseball-almanac.com/players/player.php?p=mitchcl01', 'https://www.baseball-almanac.com/players/player.php?p=pfeffje01', 'https://www.baseball-almanac.com/players/player.php?p=smithsh01']]",2,https://www.baseball-almanac.com/ws/yr1920ws.shtml
1921 World Series,New York Giants 1921 World Series Composite Pitching Statistics,['Jesse Barnes\nPhil Douglas\nArt Nehf\nFred Toney'],"[['https://www.baseball-almanac.com/players/player.php?p=barneje01', 'https://www.baseball-almanac.com/players/player.php?p=douglph01', 'https://www.baseball-almanac.com/players/player.php?p=nehfar01', 'https://www.baseball-almanac.com/players/player.php?p=toneyfr01']]",5,New York Yankees 1921 World Series Composite Pitching Statistics,['Rip Collins\nHarry Harper\nWaite Hoyt\nCarl Mays\nBill Piercy\nJack Quinn\nTom Rogers\nBob Shawkey'],"[['https://www.baseball-almanac.com/players/player.php?p=colliri01', 'https://www.baseball-almanac.com/players/player.php?p=harpeha01', 'https://www.baseball-almanac.com/players/player.php?p=hoytwa01', 'https://www.baseball-almanac.com/players/player.php?p=maysca01', 'https://www.baseball-almanac.com/players/player.php?p=piercbi01', 'https://www.baseball-almanac.com/players/player.php?p=quinnja01', 'https://www.baseball-almanac.com/players/player.php?p=rogerto01', 'https://www.baseball-almanac.com/players/player.php?p=shawkbo01']]",3,https://www.baseball-almanac.com/ws/yr1921ws.shtml
1922 World Series,New York Giants 1922 World Series Composite Pitching Statistics,['Jesse Barnes\nHugh McQuillan\nArt Nehf\nRosy Ryan\nJack Scott'],"[['https://www.baseball-almanac.com/players/player.php?p=barneje01', 'https://www.baseball-almanac.com/players/player.php?p=mcquihu01', 'https://www.baseball-almanac.com/players/player.php?p=nehfar01', 'https://www.baseball-almanac.com/players/player.php?p=ryanro01', 'https://www.baseball-almanac.com/players/player.php?p=scottja01']]",4,New York Yankees 1922 World Series Composite Pitching Statistics,['Joe Bush\nWaite Hoyt\nSam Jones\nCarl Mays\nBob Shawkey'],"[['https://www.baseball-almanac.com/players/player.php?p=bushjo01', 'https://www.baseball-almanac.com/players/player.php?p=hoytwa01', 'https://www.baseball-almanac.com/players/player.php?p=jonessa01', 'https://www.baseball-almanac.com/players/player.php?p=maysca01', 'https://www.baseball-almanac.com/players/player.php?p=shawkbo01']]",0,https://www.baseball-almanac.com/ws/yr1922ws.shtml
1923 World Series,New York Yankees 1923 World Series Composite Pitching Statistics,['Joe Bush\nWaite Hoyt\nSam Jones\nHerb Pennock\nBob Shawkey'],"[['https://www.baseball-almanac.com/players/player.php?p=bushjo01', 'https://www.baseball-almanac.com/players/player.php?p=hoytwa01', 'https://www.baseball-almanac.com/players/player.php?p=jonessa01', 'https://www.baseball-almanac.com/players/player.php?p=pennohe01', 'https://www.baseball-almanac.com/players/player.php?p=shawkbo01']]",4,New York Giants 1923 World Seris Composite Pitching Statistics,['Virgil Barnes\nJack Bentley\nClaude Jonnard\nHugh McQuillan\nArt Nehf\nRosy Ryan\nJack Scott\nMule Watson'],"[['https://www.baseball-almanac.com/players/player.php?p=barnevi01', 'https://www.baseball-almanac.com/players/player.php?p=bentlja01', 'https://www.baseball-almanac.com/players/player.php?p=jonnacl01', 'https://www.baseball-almanac.com/players/player.php?p=mcquihu01', 'https://www.baseball-almanac.com/players/player.php?p=nehfar01', 'https://www.baseball-almanac.com/players/player.php?p=ryanro01', 'https://www.baseball-almanac.com/players/player.php?p=scottja01', 'https://www.baseball-almanac.com/players/player.php?p=watsomu01']]",2,https://www.baseball-almanac.com/ws/yr1923ws.shtml
1924 World Series,Washington Senators 1924 World Series Composite Pitching Statistics,['Walter Johnson\nFirpo Marberry\nJoe Martina\nGeorge Mogridge\nCurly Ogden\nAllan Russell\nBy Speece\nTom Zachary'],"[['https://www.baseball-almanac.com/players/player.php?p=johnswa01', 'https://www.baseball-almanac.com/players/player.php?p=marbefi01', 'https://www.baseball-almanac.com/players/player.php?p=martijo02', 'https://www.baseball-almanac.com/players/player.php?p=mogrige01', 'https://www.baseball-almanac.com/players/player.php?p=ogdencu01', 'https://www.baseball-almanac.com/players/player.php?p=russeal01', 'https://www.baseball-almanac.com/players/player.php?p=speecby01', 'https://www.baseball-almanac.com/players/player.php?p=zachato01']]",4,New York Giants 1924 World Series Composite Pitching Statistics,['Harry Baldwin\nVirgil Barnes\nJack Bentley\nWayland Dean\nClaude Jonnard\nHugh McQuillan\nArt Nehf\nRosy Ryan\nMule Watson'],"[['https://www.baseball-almanac.com/players/player.php?p=baldwha01', 'https://www.baseball-almanac.com/players/player.php?p=barnevi01', 'https://www.baseball-almanac.com/players/player.php?p=bentlja01', 'https://www.baseball-almanac.com/players/player.php?p=deanwa01', 'https://www.baseball-almanac.com/players/player.php?p=jonnacl01', 'https://www.baseball-almanac.com/players/player.php?p=mcquihu01', 'https://www.baseball-almanac.com/players/player.php?p=nehfar01', 'https://www.baseball-almanac.com/players/player.php?p=ryanro01', 'https://www.baseball-almanac.com/players/player.php?p=watsomu01']]",3,https://www.baseball-almanac.com/ws/yr1924ws.shtml
1925 World Series,Pittsburgh Pirates 1925 World Series Composite Pitching Statistics,['Babe Adams\nVic Aldridge\nRay Kremer\nLee Meadows\nJohnny Morrison\nRed Oldham\nEmil Yde'],"[['https://www.baseball-almanac.com/players/player.php?p=adamsba01', 'https://www.baseball-almanac.com/players/player.php?p=aldrivi01', 'https://www.baseball-almanac.com/players/player.php?p=kremera01', 'https://www.baseball-almanac.com/players/player.php?p=meadole01', 'https://www.baseball-almanac.com/players/player.php?p=morrijo04', 'https://www.baseball-almanac.com/players/player.php?p=oldhare01', 'https://www.baseball-almanac.com/players/player.php?p=ydeem01']]",4,Washington Senators 1925 World Series Composite Pitching Statistics,['Win Ballou\nStan Coveleski\nAlex Ferguson\nWalter Johnson\nFirpo Marberry\nTom Zachary'],"[['https://www.baseball-almanac.com/players/player.php?p=ballowi01', 'https://www.baseball-almanac.com/players/player.php?p=covelst01', 'https://www.baseball-almanac.com/players/player.php?p=fergual01', 'https://www.baseball-almanac.com/players/player.php?p=johnswa01', 'https://www.baseball-almanac.com/players/player.php?p=marbefi01', 'https://www.baseball-almanac.com/players/player.php?p=zachato01']]",3,https://www.baseball-almanac.com/ws/yr1925ws.shtml
1926 World Series,St. Louis Cardinals 1926 World Series Composite Pitching Statistics,['Grover Alexander\nHi Bell\nJesse Haines\nBill Hallahan\nVic Keen\nArt Reinhart\nFlint Rhem\nBill Sherdel'],"[['https://www.baseball-almanac.com/players/player.php?p=alexape01', 'https://www.baseball-almanac.com/players/player.php?p=bellhi01', 'https://www.baseball-almanac.com/players/player.php?p=haineje01', 'https://www.baseball-almanac.com/players/player.php?p=hallabi01', 'https://www.baseball-almanac.com/players/player.php?p=keenvi01', 'https://www.baseball-almanac.com/players/player.php?p=reinhar01', 'https://www.baseball-almanac.com/players/player.php?p=rhemfl01', 'https://www.baseball-almanac.com/players/player.php?p=sherdbi01']]",4,New York Yankees 1926 World Series Composite Pitching Statistics,['Waite Hoyt\nSam Jones\nHerb Pennock\nDutch Ruether\nBob Shawkey\nUrban Shocker\nMyles Thomas'],"[['https://www.baseball-almanac.com/players/player.php?p=hoytwa01', 'https://www.baseball-almanac.com/players/player.php?p=jonessa01', 'https://www.baseball-almanac.com/players/player.php?p=pennohe01', 'https://www.baseball-almanac.com/players/player.php?p=ruethdu01', 'https://www.baseball-almanac.com/players/player.php?p=shawkbo01', 'https://www.baseball-almanac.com/players/player.php?p=shockur01', 'https://www.baseball-almanac.com/players/player.php?p=thomamy01']]",3,https://www.baseball-almanac.com/ws/yr1926ws.shtml
1927 World Series,New York Yankees 1927 World Series Composite Pitching Statistics,['Waite Hoyt\nWilcy Moore\nHerb Pennock\nGeorge Pipgras'],"[['https://www.baseball-almanac.com/players/player.php?p=hoytwa01', 'https://www.baseball-almanac.com/players/player.php?p=moorewi01', 'https://www.baseball-almanac.com/players/player.php?p=pennohe01', 'https://www.baseball-almanac.com/players/player.php?p=pipgrge01']]",4,Pittsburgh Pirates 1927 World Series Composite Pitching Statistics,['Vic Aldridge\nMike Cvengros\nJoe Dawson\nCarmen Hill\nRay Kremer\nLee Meadows\nJohnny Miljus'],"[['https://www.baseball-almanac.com/players/player.php?p=aldrivi01', 'https://www.baseball-almanac.com/players/player.php?p=cvengmi01', 'https://www.baseball-almanac.com/players/player.php?p=dawsojo01', 'https://www.baseball-almanac.com/players/player.php?p=hillca01', 'https://www.baseball-almanac.com/players/player.php?p=kremera01', 'https://www.baseball-almanac.com/players/player.php?p=meadole01', 'https://www.baseball-almanac.com/players/player.php?p=miljujo01']]",0,https://www.baseball-almanac.com/ws/yr1927ws.shtml
1928 World Series,New York Yankees 1928 World Series Composite Pitching Statistics,['Waite Hoyt\nGeorge Pipgras\nTom Zachary'],"[['https://www.baseball-almanac.com/players/player.php?p=hoytwa01', 'https://www.baseball-almanac.com/players/player.php?p=pipgrge01', 'https://www.baseball-almanac.com/players/player.php?p=zachato01']]",4,St. Louis Cardinals 1928 World Series Composite Pitching Statistics,['Grover Alexander\nJesse Haines\nSyl Johnson\nClarence Mitchell\nFlint Rhem\nBill Sherdel'],"[['https://www.baseball-almanac.com/players/player.php?p=alexape01', 'https://www.baseball-almanac.com/players/player.php?p=haineje01', 'https://www.baseball-almanac.com/players/player.php?p=johnssy01', 'https://www.baseball-almanac.com/players/player.php?p=mitchcl01', 'https://www.baseball-almanac.com/players/player.php?p=rhemfl01', 'https://www.baseball-almanac.com/players/player.php?p=sherdbi01']]",0,https://www.baseball-almanac.com/ws/yr1928ws.shtml
1929 World Series,Philadelphia Athletics 1929 World Series Composite Pitching Statistics,['George Earnshaw\nHoward Ehmke\nLefty Grove\nJack Quinn\nEddie Rommel\nRube Walberg'],"[['https://www.baseball-almanac.com/players/player.php?p=earnsge01', 'https://www.baseball-almanac.com/players/player.php?p=ehmkeho01', 'https://www.baseball-almanac.com/players/player.php?p=grovele01', 'https://www.baseball-almanac.com/players/player.php?p=quinnja01', 'https://www.baseball-almanac.com/players/player.php?p=rommeed01', 'https://www.baseball-almanac.com/players/player.php?p=walberu01']]",4,Chicago Cubs 1929 World Series Composite Pitching Statistics,['Sheriff Blake\nGuy Bush\nHal Carlson\nPat Malone\nArt Nehf\nCharlie Root'],"[['https://www.baseball-almanac.com/players/player.php?p=blakesh01', 'https://www.baseball-almanac.com/players/player.php?p=bushgu01', 'https://www.baseball-almanac.com/players/player.php?p=carlsha01', 'https://www.baseball-almanac.com/players/player.php?p=malonpa02', 'https://www.baseball-almanac.com/players/player.php?p=nehfar01', 'https://www.baseball-almanac.com/players/player.php?p=rootch01']]",1,https://www.baseball-almanac.com/ws/yr1929ws.shtml
1930 World Series,Philadelphia Athletics 1930 World Series Composite Pitching Statistics,['George Earnshaw\nLefty Grove\nJack Quinn\nBill Shores\nRube Walberg'],"[['https://www.baseball-almanac.com/players/player.php?p=earnsge01', 'https://www.baseball-almanac.com/players/player.php?p=grovele01', 'https://www.baseball-almanac.com/players/player.php?p=quinnja01', 'https://www.baseball-almanac.com/players/player.php?p=shorebi01', 'https://www.baseball-almanac.com/players/player.php?p=walberu01']]",4,St. Louis Cardinals 1930 World Series Composite Pitching Statistics,['Hi Bell\nBurleigh Grimes\nJesse Haines\nBill Hallahan\nSyl Johnson\nJim Lindsey\nFlint Rhem'],"[['https://www.baseball-almanac.com/players/player.php?p=bellhi01', 'https://www.baseball-almanac.com/players/player.php?p=grimebu01', 'https://www.baseball-almanac.com/players/player.php?p=haineje01', 'https://www.baseball-almanac.com/players/player.php?p=hallabi01', 'https://www.baseball-almanac.com/players/player.php?p=johnssy01', 'https://www.baseball-almanac.com/players/player.php?p=lindsji01', 'https://www.baseball-almanac.com/players/player.php?p=rhemfl01']]",2,https://www.baseball-almanac.com/ws/yr1930ws.shtml
