year,al team,al score,link,birthplace,birthdate,college,was_in_college,name
1911,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=planked01,USA,1875-08-31,Pennsylvania College,True,Eddie Plank
1912,Boston Red Sox,4,https://www.baseball-almanac.com/players/player.php?p=bediehu01,USA,1889-10-23,None Attended,False,Hugh Bedient
1912,Boston Red Sox,4,https://www.baseball-almanac.com/players/player.php?p=collira01,USA,1887-02-11,University of Vermont,True,Ray Collins
1912,Boston Red Sox,4,https://www.baseball-almanac.com/players/player.php?p=hallch02,USA,1884-07-27,None Attended,False,Charley Hall
1912,Boston Red Sox,4,https://www.baseball-almanac.com/players/player.php?p=obribu01,USA,1882-05-09,None Attended,False,Buck O'Brien
1912,Boston Red Sox,4,https://www.baseball-almanac.com/players/player.php?p=woodjo02,USA,1889-10-25,None Attended,False,Joe Wood
1913,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=bendech01,USA,1884-05-05,None Attended,False,Chief Bender
1913,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=bushjo01,USA,1892-11-27,None Attended,False,Bullet Joe Bush
1913,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=planked01,USA,1875-08-31,Pennsylvania College,True,Eddie Plank
1914,Philadelphia Athletics,0,https://www.baseball-almanac.com/players/player.php?p=bendech01,USA,1884-05-05,None Attended,False,Chief Bender
1914,Philadelphia Athletics,0,https://www.baseball-almanac.com/players/player.php?p=bushjo01,USA,1892-11-27,None Attended,False,Bullet Joe Bush
1914,Philadelphia Athletics,0,https://www.baseball-almanac.com/players/player.php?p=pennohe01,USA,1894-02-10,None Attended,False,Herb Pennock
1914,Philadelphia Athletics,0,https://www.baseball-almanac.com/players/player.php?p=planked01,USA,1875-08-31,Pennsylvania College,True,Eddie Plank
1914,Philadelphia Athletics,0,https://www.baseball-almanac.com/players/player.php?p=shawkbo01,USA,1890-12-04,Slippery Rock University,True,Bob Shawkey
1914,Philadelphia Athletics,0,https://www.baseball-almanac.com/players/player.php?p=wyckowe01,USA,1891-02-19,Bucknell University,True,Weldon Wyckoff
1915,Boston Red Sox,4,https://www.baseball-almanac.com/players/player.php?p=fosteru01,USA,1888-01-05,None Attended,False,Rube Foster
1915,Boston Red Sox,4,https://www.baseball-almanac.com/players/player.php?p=leonadu01,USA,1892-04-16,Saint Mary's College of California,True,Dutch Leonard
1915,Boston Red Sox,4,https://www.baseball-almanac.com/players/player.php?p=shoreer01,USA,1891-03-24,Guilford College,True,Ernie Shore
1916,Boston Red Sox,4,https://www.baseball-almanac.com/players/player.php?p=fosteru01,USA,1888-01-05,None Attended,False,Rube Foster
1916,Boston Red Sox,4,https://www.baseball-almanac.com/players/player.php?p=leonadu01,USA,1892-04-16,Saint Mary's College of California,True,Dutch Leonard
1916,Boston Red Sox,4,https://www.baseball-almanac.com/players/player.php?p=maysca01,USA,1891-11-12,None Attended,False,Carl Mays
1916,Boston Red Sox,4,https://www.baseball-almanac.com/players/player.php?p=ruthba01,USA,1895-02-06,None Attended,False,Babe Ruth
1916,Boston Red Sox,4,https://www.baseball-almanac.com/players/player.php?p=shoreer01,USA,1891-03-24,Guilford College,True,Ernie Shore
1917,Chicago White Sox,4,https://www.baseball-almanac.com/players/player.php?p=cicoted01,USA,1884-06-19,None Attended,False,Eddie Cicotte
1917,Chicago White Sox,4,https://www.baseball-almanac.com/players/player.php?p=danfoda01,USA,1890-03-07,Baylor University,True,Dave Danforth
1917,Chicago White Sox,4,https://www.baseball-almanac.com/players/player.php?p=faberre01,USA,1888-09-06,Saint Joseph's College,True,Red Faber
1917,Chicago White Sox,4,https://www.baseball-almanac.com/players/player.php?p=russere01,USA,1889-03-12,None Attended,False,Reb Russell
1917,Chicago White Sox,4,https://www.baseball-almanac.com/players/player.php?p=willile01,USA,1893-03-09,None Attended,False,Lefty Williams
1918,Boston Red Sox,4,https://www.baseball-almanac.com/players/player.php?p=bushjo01,USA,1892-11-27,None Attended,False,Bullet Joe Bush
1918,Boston Red Sox,4,https://www.baseball-almanac.com/players/player.php?p=jonessa01,USA,1892-07-26,None Attended,False,Sad Sam Jones
1918,Boston Red Sox,4,https://www.baseball-almanac.com/players/player.php?p=maysca01,USA,1891-11-12,None Attended,False,Carl Mays
1918,Boston Red Sox,4,https://www.baseball-almanac.com/players/player.php?p=ruthba01,USA,1895-02-06,None Attended,False,Babe Ruth
1919,Chicago White Sox,3,https://www.baseball-almanac.com/players/player.php?p=cicoted01,USA,1884-06-19,None Attended,False,Eddie Cicotte
1919,Chicago White Sox,3,https://www.baseball-almanac.com/players/player.php?p=jamesbi01,USA,1887-01-20,None Attended,False,Bill James
1919,Chicago White Sox,3,https://www.baseball-almanac.com/players/player.php?p=kerrdi01,USA,1893-07-03,None Attended,False,Dickie Kerr
1919,Chicago White Sox,3,https://www.baseball-almanac.com/players/player.php?p=lowdegr01,USA,1885-01-15,None Attended,False,Grover Lowdermilk
1919,Chicago White Sox,3,https://www.baseball-almanac.com/players/player.php?p=mayerer01,USA,1890-01-16,Georgia School of Technology,True,Erskine Mayer
1919,Chicago White Sox,3,https://www.baseball-almanac.com/players/player.php?p=wilkiro01,USA,1893-05-08,None Attended,False,Roy Wilkinson
1919,Chicago White Sox,3,https://www.baseball-almanac.com/players/player.php?p=willile01,USA,1893-03-09,None Attended,False,Lefty Williams
1920,Cleveland Indians,5,https://www.baseball-almanac.com/players/player.php?p=bagbyji01,USA,1889-10-05,None Attended,False,Jim Bagby
1920,Cleveland Indians,5,https://www.baseball-almanac.com/players/player.php?p=caldwra02,USA,1888-04-26,None Attended,False,Ray Caldwell
1920,Cleveland Indians,5,https://www.baseball-almanac.com/players/player.php?p=covelst01,USA,1889-07-13,None Attended,False,Stan Coveleski
1920,Cleveland Indians,5,https://www.baseball-almanac.com/players/player.php?p=mailsdu01,USA,1894-10-01,Saint Mary's College of California,True,Duster Mails
1920,Cleveland Indians,5,https://www.baseball-almanac.com/players/player.php?p=uhlege01,USA,1898-09-18,None Attended,False,George Uhle
1921,New York Yankees,3,https://www.baseball-almanac.com/players/player.php?p=colliri01,USA,1896-02-26,Agricultural & Mechanical College of Texas,True,Rip Collins
1921,New York Yankees,3,https://www.baseball-almanac.com/players/player.php?p=harpeha01,USA,1895-04-24,None Attended,False,Harry Harper
1921,New York Yankees,3,https://www.baseball-almanac.com/players/player.php?p=hoytwa01,USA,1899-09-09,None Attended,False,Waite Hoyt
1921,New York Yankees,3,https://www.baseball-almanac.com/players/player.php?p=maysca01,USA,1891-11-12,None Attended,False,Carl Mays
1921,New York Yankees,3,https://www.baseball-almanac.com/players/player.php?p=piercbi01,USA,1896-05-02,None Attended,False,Bill Piercy
1921,New York Yankees,3,https://www.baseball-almanac.com/players/player.php?p=quinnja01,Austria-Hungary,1883-07-01,None Attended,False,Jack Quinn
1921,New York Yankees,3,https://www.baseball-almanac.com/players/player.php?p=rogerto01,USA,1892-02-12,None Attended,False,Tom Rogers
1921,New York Yankees,3,https://www.baseball-almanac.com/players/player.php?p=shawkbo01,USA,1890-12-04,Slippery Rock University,True,Bob Shawkey
1922,New York Yankees,0,https://www.baseball-almanac.com/players/player.php?p=bushjo01,USA,1892-11-27,None Attended,False,Bullet Joe Bush
1922,New York Yankees,0,https://www.baseball-almanac.com/players/player.php?p=hoytwa01,USA,1899-09-09,None Attended,False,Waite Hoyt
1922,New York Yankees,0,https://www.baseball-almanac.com/players/player.php?p=jonessa01,USA,1892-07-26,None Attended,False,Sad Sam Jones
1922,New York Yankees,0,https://www.baseball-almanac.com/players/player.php?p=maysca01,USA,1891-11-12,None Attended,False,Carl Mays
1922,New York Yankees,0,https://www.baseball-almanac.com/players/player.php?p=shawkbo01,USA,1890-12-04,Slippery Rock University,True,Bob Shawkey
1923,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=bushjo01,USA,1892-11-27,None Attended,False,Bullet Joe Bush
1923,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=hoytwa01,USA,1899-09-09,None Attended,False,Waite Hoyt
1923,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=jonessa01,USA,1892-07-26,None Attended,False,Sad Sam Jones
1923,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=pennohe01,USA,1894-02-10,None Attended,False,Herb Pennock
1923,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=shawkbo01,USA,1890-12-04,Slippery Rock University,True,Bob Shawkey
1924,Washington Senators,4,https://www.baseball-almanac.com/players/player.php?p=johnswa01,USA,1887-11-06,None Attended,False,Walter Johnson
1924,Washington Senators,4,https://www.baseball-almanac.com/players/player.php?p=marbefi01,USA,1898-11-30,None Attended,False,Firpo Marberry
1924,Washington Senators,4,https://www.baseball-almanac.com/players/player.php?p=martijo02,USA,1889-07-08,None Attended,False,Joe Martina
1924,Washington Senators,4,https://www.baseball-almanac.com/players/player.php?p=mogrige01,USA,1889-02-18,None Attended,False,George Mogridge
1924,Washington Senators,4,https://www.baseball-almanac.com/players/player.php?p=ogdencu01,USA,1901-01-24,Delaware (DNP) & Swarthmore,True,Curly Ogden
1924,Washington Senators,4,https://www.baseball-almanac.com/players/player.php?p=russeal01,USA,1893-07-31,None Attended,False,Allen Russell
1924,Washington Senators,4,https://www.baseball-almanac.com/players/player.php?p=speecby01,USA,1897-01-06,None Attended,False,By Speece
1924,Washington Senators,4,https://www.baseball-almanac.com/players/player.php?p=zachato01,USA,1896-05-07,Guilford College,True,Tom Zachary
1925,Washington Senators,3,https://www.baseball-almanac.com/players/player.php?p=ballowi01,USA,1897-11-30,None Attended,False,Win Ballou
1925,Washington Senators,3,https://www.baseball-almanac.com/players/player.php?p=covelst01,USA,1889-07-13,None Attended,False,Stan Coveleski
1925,Washington Senators,3,https://www.baseball-almanac.com/players/player.php?p=fergual01,USA,1897-02-16,None Attended,False,Alex Ferguson
1925,Washington Senators,3,https://www.baseball-almanac.com/players/player.php?p=johnswa01,USA,1887-11-06,None Attended,False,Walter Johnson
1925,Washington Senators,3,https://www.baseball-almanac.com/players/player.php?p=marbefi01,USA,1898-11-30,None Attended,False,Firpo Marberry
1925,Washington Senators,3,https://www.baseball-almanac.com/players/player.php?p=zachato01,USA,1896-05-07,Guilford College,True,Tom Zachary
1926,New York Yankees,3,https://www.baseball-almanac.com/players/player.php?p=hoytwa01,USA,1899-09-09,None Attended,False,Waite Hoyt
1926,New York Yankees,3,https://www.baseball-almanac.com/players/player.php?p=jonessa01,USA,1892-07-26,None Attended,False,Sad Sam Jones
1926,New York Yankees,3,https://www.baseball-almanac.com/players/player.php?p=pennohe01,USA,1894-02-10,None Attended,False,Herb Pennock
1926,New York Yankees,3,https://www.baseball-almanac.com/players/player.php?p=ruethdu01,USA,1893-09-13,None Attended,False,Dutch Ruether
1926,New York Yankees,3,https://www.baseball-almanac.com/players/player.php?p=shawkbo01,USA,1890-12-04,Slippery Rock University,True,Bob Shawkey
1926,New York Yankees,3,https://www.baseball-almanac.com/players/player.php?p=shockur01,USA,1890-08-22,None Attended,False,Urban Shocker
1926,New York Yankees,3,https://www.baseball-almanac.com/players/player.php?p=thomamy01,USA,1897-10-22,Pennsylvania State College,True,Myles Thomas
1927,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=hoytwa01,USA,1899-09-09,None Attended,False,Waite Hoyt
1927,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=moorewi01,USA,1897-05-20,None Attended,False,Wilcy Moore
1927,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=pennohe01,USA,1894-02-10,None Attended,False,Herb Pennock
1927,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=pipgrge01,USA,1899-12-20,None Attended,False,George Pipgras
1928,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=hoytwa01,USA,1899-09-09,None Attended,False,Waite Hoyt
1928,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=pipgrge01,USA,1899-12-20,None Attended,False,George Pipgras
1928,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=zachato01,USA,1896-05-07,Guilford College,True,Tom Zachary
1929,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=earnsge01,USA,1900-02-15,Swarthmore College,True,George Earnshaw
1929,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=ehmkeho01,USA,1894-04-24,None Attended,False,Howard Ehmke
1929,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=grovele01,USA,1900-03-06,None Attended,False,Lefty Grove
1929,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=quinnja01,Austria-Hungary,1883-07-01,None Attended,False,Jack Quinn
1929,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=rommeed01,USA,1897-09-13,None Attended,False,Eddie Rommel
1929,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=walberu01,USA,1896-07-27,None Attended,False,Rube Walberg
1930,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=earnsge01,USA,1900-02-15,Swarthmore College,True,George Earnshaw
1930,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=grovele01,USA,1900-03-06,None Attended,False,Lefty Grove
1930,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=quinnja01,Austria-Hungary,1883-07-01,None Attended,False,Jack Quinn
1930,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=shorebi01,USA,1904-05-26,None Attended,False,Bill Shores
1930,Philadelphia Athletics,4,https://www.baseball-almanac.com/players/player.php?p=walberu01,USA,1896-07-27,None Attended,False,Rube Walberg
1931,Philadelphia Athletics,3,https://www.baseball-almanac.com/players/player.php?p=earnsge01,USA,1900-02-15,Swarthmore College,True,George Earnshaw
1931,Philadelphia Athletics,3,https://www.baseball-almanac.com/players/player.php?p=grovele01,USA,1900-03-06,None Attended,False,Lefty Grove
1931,Philadelphia Athletics,3,https://www.baseball-almanac.com/players/player.php?p=hoytwa01,USA,1899-09-09,None Attended,False,Waite Hoyt
1931,Philadelphia Athletics,3,https://www.baseball-almanac.com/players/player.php?p=mahafro01,USA,1904-02-09,None Attended,False,Roy Mahaffey
1931,Philadelphia Athletics,3,https://www.baseball-almanac.com/players/player.php?p=rommeed01,USA,1897-09-13,None Attended,False,Eddie Rommel
1931,Philadelphia Athletics,3,https://www.baseball-almanac.com/players/player.php?p=walberu01,USA,1896-07-27,None Attended,False,Rube Walberg
1932,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=allenjo02,USA,1904-09-30,None Attended,False,Johnny Allen
1932,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=gomezle01,USA,1908-11-26,None Attended,False,Lefty Gomez
1932,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=moorewi01,USA,1897-05-20,None Attended,False,Wilcy Moore
1932,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=pennohe01,USA,1894-02-10,None Attended,False,Herb Pennock
1932,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=pipgrge01,USA,1899-12-20,None Attended,False,George Pipgras
1932,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=ruffire01,USA,1905-05-03,None Attended,False,Red Ruffing
1933,Washington Senators,1,https://www.baseball-almanac.com/players/player.php?p=crowdal01,USA,1899-01-11,None Attended,False,Alvin Crowder
1933,Washington Senators,1,https://www.baseball-almanac.com/players/player.php?p=mccolal01,USA,1894-03-29,None Attended,False,Alex Mccoll
1933,Washington Senators,1,https://www.baseball-almanac.com/players/player.php?p=russeja01,USA,1905-10-24,None Attended,False,Jack Russell
1933,Washington Senators,1,https://www.baseball-almanac.com/players/player.php?p=stewale01,USA,1900-09-23,None Attended,False,Lefty Stewart
1933,Washington Senators,1,https://www.baseball-almanac.com/players/player.php?p=thomato02,USA,1899-12-23,None Attended,False,Tommy Thomas
1933,Washington Senators,1,https://www.baseball-almanac.com/players/player.php?p=weavemo01,USA,1906-06-15,Emory & Henry College,True,Monte Weaver
1933,Washington Senators,1,https://www.baseball-almanac.com/players/player.php?p=whiteea01,USA,1899-02-07,None Attended,False,Earl Whitehill
1934,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=aukerel01,USA,1910-09-21,Kansas State University,True,Elden Auker
1934,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=bridgto01,USA,1906-12-28,University of Tennessee,True,Tommy Bridges
1934,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=crowdal01,USA,1899-01-11,None Attended,False,Alvin Crowder
1934,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=hogsech01,USA,1903-11-02,None Attended,False,Chief Hogsett
1934,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=marbefi01,USA,1898-11-30,None Attended,False,Firpo Marberry
1934,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=rowesc01,USA,1910-01-11,None Attended,False,Schoolboy Rowe
1935,Detroit Tigers,4,https://www.baseball-almanac.com/players/player.php?p=aukerel01,USA,1910-09-21,Kansas State University,True,Elden Auker
1935,Detroit Tigers,4,https://www.baseball-almanac.com/players/player.php?p=bridgto01,USA,1906-12-28,University of Tennessee,True,Tommy Bridges
1935,Detroit Tigers,4,https://www.baseball-almanac.com/players/player.php?p=crowdal01,USA,1899-01-11,None Attended,False,Alvin Crowder
1935,Detroit Tigers,4,https://www.baseball-almanac.com/players/player.php?p=hogsech01,USA,1903-11-02,None Attended,False,Chief Hogsett
1935,Detroit Tigers,4,https://www.baseball-almanac.com/players/player.php?p=rowesc01,USA,1910-01-11,None Attended,False,Schoolboy Rowe
1936,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=gomezle01,USA,1908-11-26,None Attended,False,Lefty Gomez
1936,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=hadlebu01,USA,1904-07-05,Brown University,True,Bump Hadley
1936,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=malonpa02,USA,1902-09-25,Juniata College,True,Pat Malone
1936,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=murphjo04,USA,1908-07-14,Fordham University,True,Johnny Murphy
1936,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=pearsmo01,USA,1908-09-02,"  University of California, Berkeley",True,Monte Pearson
1936,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=ruffire01,USA,1905-05-03,None Attended,False,Red Ruffing
1937,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=andreiv01,USA,1907-05-06,None Attended,False,Ivy Andrews
1937,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=gomezle01,USA,1908-11-26,None Attended,False,Lefty Gomez
1937,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=hadlebu01,USA,1904-07-05,Brown University,True,Bump Hadley
1937,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=murphjo04,USA,1908-07-14,Fordham University,True,Johnny Murphy
1937,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=pearsmo01,USA,1908-09-02,"  University of California, Berkeley",True,Monte Pearson
1937,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=ruffire01,USA,1905-05-03,None Attended,False,Red Ruffing
1937,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=wickeke01,USA,1906-08-13,North Carolina State University (DNP),True,Kemp Wicker
1938,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=gomezle01,USA,1908-11-26,None Attended,False,Lefty Gomez
1938,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=murphjo04,USA,1908-07-14,Fordham University,True,Johnny Murphy
1938,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=pearsmo01,USA,1908-09-02,"  University of California, Berkeley",True,Monte Pearson
1938,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=ruffire01,USA,1905-05-03,None Attended,False,Red Ruffing
1939,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=gomezle01,USA,1908-11-26,None Attended,False,Lefty Gomez
1939,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=hadlebu01,USA,1904-07-05,Brown University,True,Bump Hadley
1939,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=hildeor01,USA,1907-04-07,Butler University,True,Oral Hildebrand
1939,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=murphjo04,USA,1908-07-14,Fordham University,True,Johnny Murphy
1939,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=pearsmo01,USA,1908-09-02,"  University of California, Berkeley",True,Monte Pearson
1939,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=ruffire01,USA,1905-05-03,None Attended,False,Red Ruffing
1939,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=sundrst01,USA,1910-03-27,None Attended,False,Steve Sundra
1940,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=bridgto01,USA,1906-12-28,University of Tennessee,True,Tommy Bridges
1940,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=gorsijo01,USA,1915-03-29,West Virginia University,True,Johnny Gorsica
1940,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=hutchfr01,USA,1919-08-12,None Attended,False,Fred Hutchinson
1940,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=mckaiar01,USA,1911-05-12,None Attended,False,Archie Mckain
1940,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=newsobo01,USA,1907-08-11,None Attended,False,Bobo Newsom
1940,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=rowesc01,USA,1910-01-11,None Attended,False,Schoolboy Rowe
1940,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=smithcl01,USA,1914-09-11,Southwestern College,True,Clay Smith
1940,Detroit Tigers,3,https://www.baseball-almanac.com/players/player.php?p=troutdi01,USA,1915-06-29,None Attended,False,Dizzy Trout
1941,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=bonhati01,USA,1913-08-16,None Attended,False,Tiny Bonham
1941,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=breuema01,USA,1914-04-29,Missouri School of Mines (DNP),True,Marv Breuer
1941,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=chandsp01,USA,1907-09-12,University of Georgia,True,Spud Chandler
1941,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=donalat01,USA,1910-08-19,Louisiana Tech University,True,Atley Donald
1941,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=murphjo04,USA,1908-07-14,Fordham University,True,Johnny Murphy
1941,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=ruffire01,USA,1905-05-03,None Attended,False,Red Ruffing
1941,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=russoma01,USA,1914-07-19,Brooklyn College & LIU Brooklyn,True,Marius Russo
1942,New York Yankees,1,https://www.baseball-almanac.com/players/player.php?p=bonhati01,USA,1913-08-16,None Attended,False,Tiny Bonham
1942,New York Yankees,1,https://www.baseball-almanac.com/players/player.php?p=borowha01,USA,1916-05-12,Fordham University,True,Hank Borowy
1942,New York Yankees,1,https://www.baseball-almanac.com/players/player.php?p=breuema01,USA,1914-04-29,Missouri School of Mines (DNP),True,Marv Breuer
1942,New York Yankees,1,https://www.baseball-almanac.com/players/player.php?p=chandsp01,USA,1907-09-12,University of Georgia,True,Spud Chandler
1942,New York Yankees,1,https://www.baseball-almanac.com/players/player.php?p=donalat01,USA,1910-08-19,Louisiana Tech University,True,Atley Donald
1942,New York Yankees,1,https://www.baseball-almanac.com/players/player.php?p=ruffire01,USA,1905-05-03,None Attended,False,Red Ruffing
1942,New York Yankees,1,https://www.baseball-almanac.com/players/player.php?p=turneji01,USA,1903-08-06,None Attended,False,Jim Turner
1943,New York Yankees,4,https://www.baseball-almanac.com/players/player.php?p=bonhati01,USA,1913-08-16,None Attended,False,Tiny Bonham
