year,nl,nl score,name_x,link,name_y,birthplace,birthdate,college,was_in_college
1908,Chicago Cubs,4,Mordecai Brown,https://www.baseball-almanac.com/players/player.php?p=brownmo01,Mordecai Brown,USA,1876-10-19,None Attended,False
1908,Chicago Cubs,4,Orval Overall,https://www.baseball-almanac.com/players/player.php?p=overaor01,Orval Overall,USA,1881-02-02,"  University of California, Berkeley",True
1908,Chicago Cubs,4,Jack Pfiester,https://www.baseball-almanac.com/players/player.php?p=pfiesja01,Jack Pfiester,USA,1878-05-24,None Attended,False
1908,Chicago Cubs,4,Ed Reulbach,https://www.baseball-almanac.com/players/player.php?p=reulbed01,Ed Reulbach,USA,1882-12-01,University of Notre Dame,True
1909,Pittsburgh Pirates,4,Babe Adams,https://www.baseball-almanac.com/players/player.php?p=adamsba01,Babe Adams,USA,1882-05-18,None Attended,False
1909,Pittsburgh Pirates,4,Howie Camnitz,https://www.baseball-almanac.com/players/player.php?p=camniho01,Howie Camnitz,USA,1881-08-22,Centre College,True
1909,Pittsburgh Pirates,4,Lefty Leifield,https://www.baseball-almanac.com/players/player.php?p=leifile01,Lefty Leifield,USA,1883-09-05,None Attended,False
1909,Pittsburgh Pirates,4,Nick Maddox,https://www.baseball-almanac.com/players/player.php?p=maddoni01,Nick Maddox,USA,1886-11-09,None Attended,False
1909,Pittsburgh Pirates,4,Deacon Phillippe,https://www.baseball-almanac.com/players/player.php?p=phillde01,Deacon Phillippe,USA,1872-05-23,None Attended,False
1909,Pittsburgh Pirates,4,Vic Willis,https://www.baseball-almanac.com/players/player.php?p=willivi01,Vic Willis,USA,1876-04-12,University of Delaware,True
1910,Chicago Cubs,1,Mordecai Brown,https://www.baseball-almanac.com/players/player.php?p=brownmo01,Mordecai Brown,USA,1876-10-19,None Attended,False
1910,Chicago Cubs,1,King Cole,https://www.baseball-almanac.com/players/player.php?p=coleki01,King Cole,USA,1886-04-15,None Attended,False
1910,Chicago Cubs,1,Harry Mcintire,https://www.baseball-almanac.com/players/player.php?p=mcintha01,Harry Mcintire,USA,1879-01-11,None Attended,False
1910,Chicago Cubs,1,Orval Overall,https://www.baseball-almanac.com/players/player.php?p=overaor01,Orval Overall,USA,1881-02-02,"  University of California, Berkeley",True
1910,Chicago Cubs,1,Jack Pfiester,https://www.baseball-almanac.com/players/player.php?p=pfiesja01,Jack Pfiester,USA,1878-05-24,None Attended,False
1910,Chicago Cubs,1,Ed Reulbach,https://www.baseball-almanac.com/players/player.php?p=reulbed01,Ed Reulbach,USA,1882-12-01,University of Notre Dame,True
1910,Chicago Cubs,1,Lew Richie,https://www.baseball-almanac.com/players/player.php?p=richile01,Lew Richie,USA,1883-08-23,None Attended,False
1911,New York Giants,2,Red Ames,https://www.baseball-almanac.com/players/player.php?p=amesre01,Red Ames,USA,1882-08-02,None Attended,False
1911,New York Giants,2,Doc Crandall,https://www.baseball-almanac.com/players/player.php?p=cranddo01,Doc Crandall,USA,1887-10-08,None Attended,False
1911,New York Giants,2,Rube Marquard,https://www.baseball-almanac.com/players/player.php?p=marquru01,Rube Marquard,USA,1886-10-09,None Attended,False
1911,New York Giants,2,Christy Mathewson,https://www.baseball-almanac.com/players/player.php?p=mathech01,Christy Mathewson,USA,1880-08-12,Bucknell University,True
1911,New York Giants,2,Hooks Wiltse,https://www.baseball-almanac.com/players/player.php?p=wiltsho01,Hooks Wiltse,USA,1879-09-07,None Attended,False
1912,New York Giants,3,Red Ames,https://www.baseball-almanac.com/players/player.php?p=amesre01,Red Ames,USA,1882-08-02,None Attended,False
1912,New York Giants,3,Doc Crandall,https://www.baseball-almanac.com/players/player.php?p=cranddo01,Doc Crandall,USA,1887-10-08,None Attended,False
1912,New York Giants,3,Rube Marquard,https://www.baseball-almanac.com/players/player.php?p=marquru01,Rube Marquard,USA,1886-10-09,None Attended,False
1912,New York Giants,3,Christy Mathewson,https://www.baseball-almanac.com/players/player.php?p=mathech01,Christy Mathewson,USA,1880-08-12,Bucknell University,True
1912,New York Giants,3,Jeff Tesreau,https://www.baseball-almanac.com/players/player.php?p=tesreje01,Jeff Tesreau,USA,1888-03-05,None Attended,False
1913,New York Giants,1,Doc Crandall,https://www.baseball-almanac.com/players/player.php?p=cranddo01,Doc Crandall,USA,1887-10-08,None Attended,False
1913,New York Giants,1,Al Demaree,https://www.baseball-almanac.com/players/player.php?p=demaral01,Al Demaree,USA,1884-09-08,None Attended,False
1913,New York Giants,1,Rube Marquard,https://www.baseball-almanac.com/players/player.php?p=marquru01,Rube Marquard,USA,1886-10-09,None Attended,False
1913,New York Giants,1,Christy Mathewson,https://www.baseball-almanac.com/players/player.php?p=mathech01,Christy Mathewson,USA,1880-08-12,Bucknell University,True
1913,New York Giants,1,Jeff Tesreau,https://www.baseball-almanac.com/players/player.php?p=tesreje01,Jeff Tesreau,USA,1888-03-05,None Attended,False
1914,Boston Braves,4,Bill James,https://www.baseball-almanac.com/players/player.php?p=jamesbi02,Bill James,USA,1892-03-12,Saint Mary's College of California (DNP),True
1914,Boston Braves,4,Dick Rudolph,https://www.baseball-almanac.com/players/player.php?p=rudoldi01,Dick Rudolph,USA,1887-08-25,Fordham University,True
1914,Boston Braves,4,Lefty Tyler,https://www.baseball-almanac.com/players/player.php?p=tylerle01,Lefty Tyler,USA,1889-12-14,None Attended,False
1915,Philadelphia Phillies,1,Grover Alexander,https://www.baseball-almanac.com/players/player.php?p=alexape01,Grover Alexander,USA,1887-02-26,None Attended,False
1915,Philadelphia Phillies,1,George Chalmers,https://www.baseball-almanac.com/players/player.php?p=chalmge01,George Chalmers,Scotland,1888-06-07,Manhattan College,True
1915,Philadelphia Phillies,1,Erskine Mayer,https://www.baseball-almanac.com/players/player.php?p=mayerer01,Erskine Mayer,USA,1890-01-16,Georgia School of Technology,True
1915,Philadelphia Phillies,1,Eppa Rixey,https://www.baseball-almanac.com/players/player.php?p=rixeyep01,Eppa Rixey,USA,1891-05-03,University of Virginia,True
1916,Brooklyn Robins,1,Larry Cheney,https://www.baseball-almanac.com/players/player.php?p=chenela01,Larry Cheney,USA,1886-05-02,None Attended,False
1916,Brooklyn Robins,1,Jack Coombs,https://www.baseball-almanac.com/players/player.php?p=coombja01,Jack Coombs,USA,1882-11-18,Colby College,True
1916,Brooklyn Robins,1,Wheezer Dell,https://www.baseball-almanac.com/players/player.php?p=dellwh01,Wheezer Dell,USA,1886-06-11,None Attended,False
1916,Brooklyn Robins,1,Rube Marquard,https://www.baseball-almanac.com/players/player.php?p=marquru01,Rube Marquard,USA,1886-10-09,None Attended,False
1916,Brooklyn Robins,1,Jeff Pfeffer,https://www.baseball-almanac.com/players/player.php?p=pfeffje01,Jeff Pfeffer,USA,1888-03-04,None Attended,False
1916,Brooklyn Robins,1,Nap Rucker,https://www.baseball-almanac.com/players/player.php?p=ruckena01,Nap Rucker,USA,1884-09-30,None Attended,False
1916,Brooklyn Robins,1,Sherry Smith,https://www.baseball-almanac.com/players/player.php?p=smithsh01,Sherry Smith,USA,1891-02-18,None Attended,False
1917,New York Giants,2,Fred Anderson,https://www.baseball-almanac.com/players/player.php?p=anderfr01,Fred Anderson,USA,1885-12-11,Davidson & Maryland Agricultural,True
1917,New York Giants,2,Rube Benton,https://www.baseball-almanac.com/players/player.php?p=bentoru01,Rube Benton,USA,1890-06-27,None Attended,False
1917,New York Giants,2,Pol Perritt,https://www.baseball-almanac.com/players/player.php?p=perripo01,Pol Perritt,USA,1891-08-30,None Attended,False
1917,New York Giants,2,Slim Sallee,https://www.baseball-almanac.com/players/player.php?p=sallesl01,Slim Sallee,USA,1885-02-03,None Attended,False
1917,New York Giants,2,Ferdie Schupp,https://www.baseball-almanac.com/players/player.php?p=schupfe01,Ferdie Schupp,USA,1891-01-16,None Attended,False
1917,New York Giants,2,Jeff Tesreau,https://www.baseball-almanac.com/players/player.php?p=tesreje01,Jeff Tesreau,USA,1888-03-05,None Attended,False
1918,Chicago Cubs,2,Phil Douglas,https://www.baseball-almanac.com/players/player.php?p=douglph01,Phil Douglas,USA,1890-06-17,None Attended,False
1918,Chicago Cubs,2,Claude Hendrix,https://www.baseball-almanac.com/players/player.php?p=hendrcl01,Claude Hendrix,USA,1889-04-13,Fairmont College,True
1918,Chicago Cubs,2,Lefty Tyler,https://www.baseball-almanac.com/players/player.php?p=tylerle01,Lefty Tyler,USA,1889-12-14,None Attended,False
1918,Chicago Cubs,2,Hippo Vaughn,https://www.baseball-almanac.com/players/player.php?p=vaughhi01,Hippo Vaughn,USA,1888-04-09,None Attended,False
1919,Cincinnati Reds,5,Hod Eller,https://www.baseball-almanac.com/players/player.php?p=ellerho01,Hod Eller,USA,1894-07-05,None Attended,False
1919,Cincinnati Reds,5,Ray Fisher,https://www.baseball-almanac.com/players/player.php?p=fishera01,Ray Fisher,USA,1887-10-04,Middlebury College,True
1919,Cincinnati Reds,5,Dolf Luque,https://www.baseball-almanac.com/players/player.php?p=luquedo01,Dolf Luque,Cuba,1890-08-04,None Attended,False
1919,Cincinnati Reds,5,Jimmy Ring,https://www.baseball-almanac.com/players/player.php?p=ringji01,Jimmy Ring,USA,1895-02-15,None Attended,False
1919,Cincinnati Reds,5,Dutch Ruether,https://www.baseball-almanac.com/players/player.php?p=ruethdu01,Dutch Ruether,USA,1893-09-13,None Attended,False
1919,Cincinnati Reds,5,Slim Sallee,https://www.baseball-almanac.com/players/player.php?p=sallesl01,Slim Sallee,USA,1885-02-03,None Attended,False
1920,Brooklyn Robins,2,Leon Cadore,https://www.baseball-almanac.com/players/player.php?p=cadorle01,Leon Cadore,USA,1890-11-20,Gonzaga College,True
1920,Brooklyn Robins,2,Burleigh Grimes,https://www.baseball-almanac.com/players/player.php?p=grimebu01,Burleigh Grimes,USA,1893-08-18,None Attended,False
1920,Brooklyn Robins,2,Al Mamaux,https://www.baseball-almanac.com/players/player.php?p=mamaual01,Al Mamaux,USA,1894-05-30,Duquesne University,True
1920,Brooklyn Robins,2,Rube Marquard,https://www.baseball-almanac.com/players/player.php?p=marquru01,Rube Marquard,USA,1886-10-09,None Attended,False
1920,Brooklyn Robins,2,Clarence Mitchell,https://www.baseball-almanac.com/players/player.php?p=mitchcl01,Clarence Mitchell,USA,1891-02-22,None Attended,False
1920,Brooklyn Robins,2,Jeff Pfeffer,https://www.baseball-almanac.com/players/player.php?p=pfeffje01,Jeff Pfeffer,USA,1888-03-04,None Attended,False
1920,Brooklyn Robins,2,Sherry Smith,https://www.baseball-almanac.com/players/player.php?p=smithsh01,Sherry Smith,USA,1891-02-18,None Attended,False
1921,New York Giants,5,Jesse Barnes,https://www.baseball-almanac.com/players/player.php?p=barneje01,Jesse Barnes,USA,1892-08-26,None Attended,False
1921,New York Giants,5,Phil Douglas,https://www.baseball-almanac.com/players/player.php?p=douglph01,Phil Douglas,USA,1890-06-17,None Attended,False
1921,New York Giants,5,Art Nehf,https://www.baseball-almanac.com/players/player.php?p=nehfar01,Art Nehf,USA,1892-07-31,Rose Polytechnic Institute,True
1921,New York Giants,5,Fred Toney,https://www.baseball-almanac.com/players/player.php?p=toneyfr01,Fred Toney,USA,1888-12-11,None Attended,False
1922,New York Giants,4,Jesse Barnes,https://www.baseball-almanac.com/players/player.php?p=barneje01,Jesse Barnes,USA,1892-08-26,None Attended,False
1922,New York Giants,4,Hugh Mcquillan,https://www.baseball-almanac.com/players/player.php?p=mcquihu01,Hugh Mcquillan,USA,1895-09-15,None Attended,False
1922,New York Giants,4,Art Nehf,https://www.baseball-almanac.com/players/player.php?p=nehfar01,Art Nehf,USA,1892-07-31,Rose Polytechnic Institute,True
1922,New York Giants,4,Rosy Ryan,https://www.baseball-almanac.com/players/player.php?p=ryanro01,Rosy Ryan,USA,1898-03-15,College of the Holy Cross,True
1922,New York Giants,4,Jack Scott,https://www.baseball-almanac.com/players/player.php?p=scottja01,Jack Scott,USA,1892-04-18,None Attended,False
1923,New York Giants,2,Virgil Barnes,https://www.baseball-almanac.com/players/player.php?p=barnevi01,Virgil Barnes,USA,1897-03-05,None Attended,False
1923,New York Giants,2,Jack Bentley,https://www.baseball-almanac.com/players/player.php?p=bentlja01,Jack Bentley,USA,1895-03-08,None Attended,False
1923,New York Giants,2,Claude Jonnard,https://www.baseball-almanac.com/players/player.php?p=jonnacl01,Claude Jonnard,USA,1897-11-23,None Attended,False
1923,New York Giants,2,Hugh Mcquillan,https://www.baseball-almanac.com/players/player.php?p=mcquihu01,Hugh Mcquillan,USA,1895-09-15,None Attended,False
1923,New York Giants,2,Art Nehf,https://www.baseball-almanac.com/players/player.php?p=nehfar01,Art Nehf,USA,1892-07-31,Rose Polytechnic Institute,True
1923,New York Giants,2,Rosy Ryan,https://www.baseball-almanac.com/players/player.php?p=ryanro01,Rosy Ryan,USA,1898-03-15,College of the Holy Cross,True
1923,New York Giants,2,Jack Scott,https://www.baseball-almanac.com/players/player.php?p=scottja01,Jack Scott,USA,1892-04-18,None Attended,False
1923,New York Giants,2,Mule Watson,https://www.baseball-almanac.com/players/player.php?p=watsomu01,Mule Watson,USA,1896-10-15,Baylor University,True
1924,New York Giants,3,Harry Baldwin,https://www.baseball-almanac.com/players/player.php?p=baldwha01,Harry Baldwin,USA,1900-06-03,None Attended,False
1924,New York Giants,3,Virgil Barnes,https://www.baseball-almanac.com/players/player.php?p=barnevi01,Virgil Barnes,USA,1897-03-05,None Attended,False
1924,New York Giants,3,Jack Bentley,https://www.baseball-almanac.com/players/player.php?p=bentlja01,Jack Bentley,USA,1895-03-08,None Attended,False
1924,New York Giants,3,Wayland Dean,https://www.baseball-almanac.com/players/player.php?p=deanwa01,Wayland Dean,USA,1902-06-20,None Attended,False
1924,New York Giants,3,Claude Jonnard,https://www.baseball-almanac.com/players/player.php?p=jonnacl01,Claude Jonnard,USA,1897-11-23,None Attended,False
1924,New York Giants,3,Hugh Mcquillan,https://www.baseball-almanac.com/players/player.php?p=mcquihu01,Hugh Mcquillan,USA,1895-09-15,None Attended,False
1924,New York Giants,3,Art Nehf,https://www.baseball-almanac.com/players/player.php?p=nehfar01,Art Nehf,USA,1892-07-31,Rose Polytechnic Institute,True
1924,New York Giants,3,Rosy Ryan,https://www.baseball-almanac.com/players/player.php?p=ryanro01,Rosy Ryan,USA,1898-03-15,College of the Holy Cross,True
1924,New York Giants,3,Mule Watson,https://www.baseball-almanac.com/players/player.php?p=watsomu01,Mule Watson,USA,1896-10-15,Baylor University,True
1925,Pittsburgh Pirates,4,Babe Adams,https://www.baseball-almanac.com/players/player.php?p=adamsba01,Babe Adams,USA,1882-05-18,None Attended,False
1925,Pittsburgh Pirates,4,Vic Aldridge,https://www.baseball-almanac.com/players/player.php?p=aldrivi01,Vic Aldridge,USA,1893-10-25,None Attended,False
1925,Pittsburgh Pirates,4,Ray Kremer,https://www.baseball-almanac.com/players/player.php?p=kremera01,Ray Kremer,USA,1895-03-23,None Attended,False
1925,Pittsburgh Pirates,4,Lee Meadows,https://www.baseball-almanac.com/players/player.php?p=meadole01,Lee Meadows,USA,1894-07-12,None Attended,False
1925,Pittsburgh Pirates,4,Johnny Morrison,https://www.baseball-almanac.com/players/player.php?p=morrijo04,Johnny Morrison,USA,1895-10-22,None Attended,False
1925,Pittsburgh Pirates,4,Red Oldham,https://www.baseball-almanac.com/players/player.php?p=oldhare01,Red Oldham,USA,1893-07-15,None Attended,False
1925,Pittsburgh Pirates,4,Emil Yde,https://www.baseball-almanac.com/players/player.php?p=ydeem01,Emil Yde,USA,1900-01-28,None Attended,False
1926,St. Louis Cardinals,4,Grover Alexander,https://www.baseball-almanac.com/players/player.php?p=alexape01,Grover Alexander,USA,1887-02-26,None Attended,False
1926,St. Louis Cardinals,4,Hi Bell,https://www.baseball-almanac.com/players/player.php?p=bellhi01,Hi Bell,USA,1897-07-16,None Attended,False
1926,St. Louis Cardinals,4,Jesse Haines,https://www.baseball-almanac.com/players/player.php?p=haineje01,Jesse Haines,USA,1893-07-22,None Attended,False
1926,St. Louis Cardinals,4,Bill Hallahan,https://www.baseball-almanac.com/players/player.php?p=hallabi01,Bill Hallahan,USA,1902-08-04,None Attended,False
1926,St. Louis Cardinals,4,Vic Keen,https://www.baseball-almanac.com/players/player.php?p=keenvi01,Vic Keen,USA,1899-03-16,Maryland State College,True
1926,St. Louis Cardinals,4,Art Reinhart,https://www.baseball-almanac.com/players/player.php?p=reinhar01,Art Reinhart,USA,1899-05-29,State University of Iowa,True
1926,St. Louis Cardinals,4,Flint Rhem,https://www.baseball-almanac.com/players/player.php?p=rhemfl01,Flint Rhem,USA,1901-01-24,Clemson Agricultural College,True
1926,St. Louis Cardinals,4,Bill Sherdel,https://www.baseball-almanac.com/players/player.php?p=sherdbi01,Bill Sherdel,USA,1896-08-15,None Attended,False
1927,Pittsburgh Pirates,0,Vic Aldridge,https://www.baseball-almanac.com/players/player.php?p=aldrivi01,Vic Aldridge,USA,1893-10-25,None Attended,False
1927,Pittsburgh Pirates,0,Mike Cvengros,https://www.baseball-almanac.com/players/player.php?p=cvengmi01,Mike Cvengros,USA,1900-12-01,None Attended,False
1927,Pittsburgh Pirates,0,Joe Dawson,https://www.baseball-almanac.com/players/player.php?p=dawsojo01,Joe Dawson,USA,1897-03-09,None Attended,False
1927,Pittsburgh Pirates,0,Carmen Hill,https://www.baseball-almanac.com/players/player.php?p=hillca01,Carmen Hill,USA,1895-10-01,None Attended,False
1927,Pittsburgh Pirates,0,Ray Kremer,https://www.baseball-almanac.com/players/player.php?p=kremera01,Ray Kremer,USA,1895-03-23,None Attended,False
1927,Pittsburgh Pirates,0,Lee Meadows,https://www.baseball-almanac.com/players/player.php?p=meadole01,Lee Meadows,USA,1894-07-12,None Attended,False
1927,Pittsburgh Pirates,0,Johnny Miljus,https://www.baseball-almanac.com/players/player.php?p=miljujo01,Johnny Miljus,USA,1895-06-30,Pittsburgh & Duquesne,True
1928,St. Louis Cardinals,0,Grover Alexander,https://www.baseball-almanac.com/players/player.php?p=alexape01,Grover Alexander,USA,1887-02-26,None Attended,False
1928,St. Louis Cardinals,0,Jesse Haines,https://www.baseball-almanac.com/players/player.php?p=haineje01,Jesse Haines,USA,1893-07-22,None Attended,False
1928,St. Louis Cardinals,0,Syl Johnson,https://www.baseball-almanac.com/players/player.php?p=johnssy01,Syl Johnson,USA,1900-12-31,None Attended,False
1928,St. Louis Cardinals,0,Clarence Mitchell,https://www.baseball-almanac.com/players/player.php?p=mitchcl01,Clarence Mitchell,USA,1891-02-22,None Attended,False
1928,St. Louis Cardinals,0,Flint Rhem,https://www.baseball-almanac.com/players/player.php?p=rhemfl01,Flint Rhem,USA,1901-01-24,Clemson Agricultural College,True
1928,St. Louis Cardinals,0,Bill Sherdel,https://www.baseball-almanac.com/players/player.php?p=sherdbi01,Bill Sherdel,USA,1896-08-15,None Attended,False
1929,Chicago Cubs,1,Sheriff Blake,https://www.baseball-almanac.com/players/player.php?p=blakesh01,Sheriff Blake,USA,1899-09-17,West Virginia Wesleyan College,True
1929,Chicago Cubs,1,Guy Bush,https://www.baseball-almanac.com/players/player.php?p=bushgu01,Guy Bush,USA,1901-08-23,None Attended,False
1929,Chicago Cubs,1,Hal Carlson,https://www.baseball-almanac.com/players/player.php?p=carlsha01,Hal Carlson,USA,1892-05-17,None Attended,False
1929,Chicago Cubs,1,Pat Malone,https://www.baseball-almanac.com/players/player.php?p=malonpa02,Pat Malone,USA,1902-09-25,Juniata College,True
1929,Chicago Cubs,1,Art Nehf,https://www.baseball-almanac.com/players/player.php?p=nehfar01,Art Nehf,USA,1892-07-31,Rose Polytechnic Institute,True
1929,Chicago Cubs,1,Charlie Root,https://www.baseball-almanac.com/players/player.php?p=rootch01,Charlie Root,USA,1899-03-17,None Attended,False
1930,St. Louis Cardinals,2,Hi Bell,https://www.baseball-almanac.com/players/player.php?p=bellhi01,Hi Bell,USA,1897-07-16,None Attended,False
1930,St. Louis Cardinals,2,Burleigh Grimes,https://www.baseball-almanac.com/players/player.php?p=grimebu01,Burleigh Grimes,USA,1893-08-18,None Attended,False
1930,St. Louis Cardinals,2,Jesse Haines,https://www.baseball-almanac.com/players/player.php?p=haineje01,Jesse Haines,USA,1893-07-22,None Attended,False
1930,St. Louis Cardinals,2,Bill Hallahan,https://www.baseball-almanac.com/players/player.php?p=hallabi01,Bill Hallahan,USA,1902-08-04,None Attended,False
1930,St. Louis Cardinals,2,Syl Johnson,https://www.baseball-almanac.com/players/player.php?p=johnssy01,Syl Johnson,USA,1900-12-31,None Attended,False
1930,St. Louis Cardinals,2,Jim Lindsey,https://www.baseball-almanac.com/players/player.php?p=lindsji01,Jim Lindsey,USA,1899-01-24,None Attended,False
1930,St. Louis Cardinals,2,Flint Rhem,https://www.baseball-almanac.com/players/player.php?p=rhemfl01,Flint Rhem,USA,1901-01-24,Clemson Agricultural College,True
1931,St. Louis Cardinals,4,Paul Derringer,https://www.baseball-almanac.com/players/player.php?p=derripa01,Paul Derringer,USA,1906-10-17,None Attended,False
1931,St. Louis Cardinals,4,Burleigh Grimes,https://www.baseball-almanac.com/players/player.php?p=grimebu01,Burleigh Grimes,USA,1893-08-18,None Attended,False
1931,St. Louis Cardinals,4,Bill Hallahan,https://www.baseball-almanac.com/players/player.php?p=hallabi01,Bill Hallahan,USA,1902-08-04,None Attended,False
1931,St. Louis Cardinals,4,Syl Johnson,https://www.baseball-almanac.com/players/player.php?p=johnssy01,Syl Johnson,USA,1900-12-31,None Attended,False
1931,St. Louis Cardinals,4,Jim Lindsey,https://www.baseball-almanac.com/players/player.php?p=lindsji01,Jim Lindsey,USA,1899-01-24,None Attended,False
1931,St. Louis Cardinals,4,Flint Rhem,https://www.baseball-almanac.com/players/player.php?p=rhemfl01,Flint Rhem,USA,1901-01-24,Clemson Agricultural College,True
1932,Chicago Cubs,0,Guy Bush,https://www.baseball-almanac.com/players/player.php?p=bushgu01,Guy Bush,USA,1901-08-23,None Attended,False
1932,Chicago Cubs,0,Burleigh Grimes,https://www.baseball-almanac.com/players/player.php?p=grimebu01,Burleigh Grimes,USA,1893-08-18,None Attended,False
1932,Chicago Cubs,0,Pat Malone,https://www.baseball-almanac.com/players/player.php?p=malonpa02,Pat Malone,USA,1902-09-25,Juniata College,True
1932,Chicago Cubs,0,Jakie May,https://www.baseball-almanac.com/players/player.php?p=mayja01,Jakie May,USA,1895-11-25,None Attended,False
1932,Chicago Cubs,0,Charlie Root,https://www.baseball-almanac.com/players/player.php?p=rootch01,Charlie Root,USA,1899-03-17,None Attended,False
1932,Chicago Cubs,0,Bob Smith,https://www.baseball-almanac.com/players/player.php?p=smithbo02,Bob Smith,USA,1895-04-22,None Attended,False
1932,Chicago Cubs,0,Bud Tinning,https://www.baseball-almanac.com/players/player.php?p=tinnibu01,Bud Tinning,USA,1906-03-12,None Attended,False
1932,Chicago Cubs,0,Lon Warneke,https://www.baseball-almanac.com/players/player.php?p=warnelo01,Lon Warneke,USA,1909-03-28,None Attended,False
1933,New York Giants,4,Hi Bell,https://www.baseball-almanac.com/players/player.php?p=bellhi01,Hi Bell,USA,1897-07-16,None Attended,False
1933,New York Giants,4,Freddie Fitzsimmons,https://www.baseball-almanac.com/players/player.php?p=fitzsfr01,Freddie Fitzsimmons,USA,1901-07-28,None Attended,False
1933,New York Giants,4,Carl Hubbell,https://www.baseball-almanac.com/players/player.php?p=hubbeca01,Carl Hubbell,USA,1903-06-22,None Attended,False
1933,New York Giants,4,Dolf Luque,https://www.baseball-almanac.com/players/player.php?p=luquedo01,Dolf Luque,Cuba,1890-08-04,None Attended,False
1933,New York Giants,4,Hal Schumacher,https://www.baseball-almanac.com/players/player.php?p=schumha02,Hal Schumacher,USA,1910-11-23,St. Lawrence University,True
1934,St. Louis Cardinals,4,Tex Carleton,https://www.baseball-almanac.com/players/player.php?p=carlete01,Tex Carleton,USA,1906-08-19,Texas Christian University,True
1934,St. Louis Cardinals,4,Dizzy Dean,https://www.baseball-almanac.com/players/player.php?p=deandi01,Dizzy Dean,USA,1910-01-16,None Attended,False
1934,St. Louis Cardinals,4,Paul Dean,https://www.baseball-almanac.com/players/player.php?p=deanpa01,Paul Dean,USA,1912-08-14,None Attended,False
1934,St. Louis Cardinals,4,Jesse Haines,https://www.baseball-almanac.com/players/player.php?p=haineje01,Jesse Haines,USA,1893-07-22,None Attended,False
1934,St. Louis Cardinals,4,Bill Hallahan,https://www.baseball-almanac.com/players/player.php?p=hallabi01,Bill Hallahan,USA,1902-08-04,None Attended,False
1934,St. Louis Cardinals,4,Jim Mooney,https://www.baseball-almanac.com/players/player.php?p=mooneji01,Jim Mooney,USA,1906-09-04,East Tennessee State University,True
1934,St. Louis Cardinals,4,Dazzy Vance,https://www.baseball-almanac.com/players/player.php?p=vanceda01,Dazzy Vance,USA,1891-03-04,None Attended,False
1934,St. Louis Cardinals,4,Bill Walker,https://www.baseball-almanac.com/players/player.php?p=walkebi01,Bill Walker,USA,1903-10-07,None Attended,False
1935,Chicago Cubs,2,Tex Carleton,https://www.baseball-almanac.com/players/player.php?p=carlete01,Tex Carleton,USA,1906-08-19,Texas Christian University,True
1935,Chicago Cubs,2,Larry French,https://www.baseball-almanac.com/players/player.php?p=frencla01,Larry French,USA,1907-11-01,None Attended,False
