name,birthplace,birthdate,college,link,was_in_college
Nick Maddox,USA,1886-11-09,None Attended,https://www.baseball-almanac.com/players/player.php?p=maddoni01,False
Vic Willis,USA,1876-04-12,University of Delaware,https://www.baseball-almanac.com/players/player.php?p=willivi01,True
Ed Willett,USA,1884-03-07,None Attended,https://www.baseball-almanac.com/players/player.php?p=willeed01,False
Ralph Works,USA,1888-03-16,None Attended,https://www.baseball-almanac.com/players/player.php?p=worksra01,False
Jack Coombs,USA,1882-11-18,Colby College,https://www.baseball-almanac.com/players/player.php?p=coombja01,True
King Cole,USA,1886-04-15,None Attended,https://www.baseball-almanac.com/players/player.php?p=coleki01,False
Harry Mcintire,USA,1879-01-11,None Attended,https://www.baseball-almanac.com/players/player.php?p=mcintha01,False
Lew Richie,USA,1883-08-23,None Attended,https://www.baseball-almanac.com/players/player.php?p=richile01,False
Doc Crandall,USA,1887-10-08,None Attended,https://www.baseball-almanac.com/players/player.php?p=cranddo01,False
Rube Marquard,USA,1886-10-09,None Attended,https://www.baseball-almanac.com/players/player.php?p=marquru01,False
Hooks Wiltse,USA,1879-09-07,None Attended,https://www.baseball-almanac.com/players/player.php?p=wiltsho01,False
Hugh Bedient,USA,1889-10-23,None Attended,https://www.baseball-almanac.com/players/player.php?p=bediehu01,False
Ray Collins,USA,1887-02-11,University of Vermont,https://www.baseball-almanac.com/players/player.php?p=collira01,True
Charley Hall,USA,1884-07-27,None Attended,https://www.baseball-almanac.com/players/player.php?p=hallch02,False
Buck O'Brien,USA,1882-05-09,None Attended,https://www.baseball-almanac.com/players/player.php?p=obribu01,False
Joe Wood,USA,1889-10-25,None Attended,https://www.baseball-almanac.com/players/player.php?p=woodjo02,False
Jeff Tesreau,USA,1888-03-05,None Attended,https://www.baseball-almanac.com/players/player.php?p=tesreje01,False
Bullet Joe Bush,USA,1892-11-27,None Attended,https://www.baseball-almanac.com/players/player.php?p=bushjo01,False
Al Demaree,USA,1884-09-08,None Attended,https://www.baseball-almanac.com/players/player.php?p=demaral01,False
Bill James,USA,1892-03-12,Saint Mary's College of California (DNP),https://www.baseball-almanac.com/players/player.php?p=jamesbi02,True
Dick Rudolph,USA,1887-08-25,Fordham University,https://www.baseball-almanac.com/players/player.php?p=rudoldi01,True
Lefty Tyler,USA,1889-12-14,None Attended,https://www.baseball-almanac.com/players/player.php?p=tylerle01,False
Herb Pennock,USA,1894-02-10,None Attended,https://www.baseball-almanac.com/players/player.php?p=pennohe01,False
Bob Shawkey,USA,1890-12-04,Slippery Rock University,https://www.baseball-almanac.com/players/player.php?p=shawkbo01,True
Weldon Wyckoff,USA,1891-02-19,Bucknell University,https://www.baseball-almanac.com/players/player.php?p=wyckowe01,True
Rube Foster,USA,1888-01-05,None Attended,https://www.baseball-almanac.com/players/player.php?p=fosteru01,False
Dutch Leonard,USA,1892-04-16,Saint Mary's College of California,https://www.baseball-almanac.com/players/player.php?p=leonadu01,True
Ernie Shore,USA,1891-03-24,Guilford College,https://www.baseball-almanac.com/players/player.php?p=shoreer01,True
Grover Alexander,USA,1887-02-26,None Attended,https://www.baseball-almanac.com/players/player.php?p=alexape01,False
George Chalmers,Scotland,1888-06-07,Manhattan College,https://www.baseball-almanac.com/players/player.php?p=chalmge01,True
Erskine Mayer,USA,1890-01-16,Georgia School of Technology,https://www.baseball-almanac.com/players/player.php?p=mayerer01,True
Eppa Rixey,USA,1891-05-03,University of Virginia,https://www.baseball-almanac.com/players/player.php?p=rixeyep01,True
Carl Mays,USA,1891-11-12,None Attended,https://www.baseball-almanac.com/players/player.php?p=maysca01,False
Babe Ruth,USA,1895-02-06,None Attended,https://www.baseball-almanac.com/players/player.php?p=ruthba01,False
Larry Cheney,USA,1886-05-02,None Attended,https://www.baseball-almanac.com/players/player.php?p=chenela01,False
Wheezer Dell,USA,1886-06-11,None Attended,https://www.baseball-almanac.com/players/player.php?p=dellwh01,False
Jeff Pfeffer,USA,1888-03-04,None Attended,https://www.baseball-almanac.com/players/player.php?p=pfeffje01,False
Nap Rucker,USA,1884-09-30,None Attended,https://www.baseball-almanac.com/players/player.php?p=ruckena01,False
Sherry Smith,USA,1891-02-18,None Attended,https://www.baseball-almanac.com/players/player.php?p=smithsh01,False
Eddie Cicotte,USA,1884-06-19,None Attended,https://www.baseball-almanac.com/players/player.php?p=cicoted01,False
Dave Danforth,USA,1890-03-07,Baylor University,https://www.baseball-almanac.com/players/player.php?p=danfoda01,True
Red Faber,USA,1888-09-06,Saint Joseph's College,https://www.baseball-almanac.com/players/player.php?p=faberre01,True
Reb Russell,USA,1889-03-12,None Attended,https://www.baseball-almanac.com/players/player.php?p=russere01,False
Lefty Williams,USA,1893-03-09,None Attended,https://www.baseball-almanac.com/players/player.php?p=willile01,False
Fred Anderson,USA,1885-12-11,Davidson & Maryland Agricultural,https://www.baseball-almanac.com/players/player.php?p=anderfr01,True
Rube Benton,USA,1890-06-27,None Attended,https://www.baseball-almanac.com/players/player.php?p=bentoru01,False
Pol Perritt,USA,1891-08-30,None Attended,https://www.baseball-almanac.com/players/player.php?p=perripo01,False
Slim Sallee,USA,1885-02-03,None Attended,https://www.baseball-almanac.com/players/player.php?p=sallesl01,False
Ferdie Schupp,USA,1891-01-16,None Attended,https://www.baseball-almanac.com/players/player.php?p=schupfe01,False
Sad Sam Jones,USA,1892-07-26,None Attended,https://www.baseball-almanac.com/players/player.php?p=jonessa01,False
Phil Douglas,USA,1890-06-17,None Attended,https://www.baseball-almanac.com/players/player.php?p=douglph01,False
Claude Hendrix,USA,1889-04-13,Fairmont College,https://www.baseball-almanac.com/players/player.php?p=hendrcl01,True
Hippo Vaughn,USA,1888-04-09,None Attended,https://www.baseball-almanac.com/players/player.php?p=vaughhi01,False
Hod Eller,USA,1894-07-05,None Attended,https://www.baseball-almanac.com/players/player.php?p=ellerho01,False
Ray Fisher,USA,1887-10-04,Middlebury College,https://www.baseball-almanac.com/players/player.php?p=fishera01,True
Dolf Luque,Cuba,1890-08-04,None Attended,https://www.baseball-almanac.com/players/player.php?p=luquedo01,False
Jimmy Ring,USA,1895-02-15,None Attended,https://www.baseball-almanac.com/players/player.php?p=ringji01,False
Dutch Ruether,USA,1893-09-13,None Attended,https://www.baseball-almanac.com/players/player.php?p=ruethdu01,False
Bill James,USA,1887-01-20,None Attended,https://www.baseball-almanac.com/players/player.php?p=jamesbi01,False
Dickie Kerr,USA,1893-07-03,None Attended,https://www.baseball-almanac.com/players/player.php?p=kerrdi01,False
Grover Lowdermilk,USA,1885-01-15,None Attended,https://www.baseball-almanac.com/players/player.php?p=lowdegr01,False
Roy Wilkinson,USA,1893-05-08,None Attended,https://www.baseball-almanac.com/players/player.php?p=wilkiro01,False
Jim Bagby,USA,1889-10-05,None Attended,https://www.baseball-almanac.com/players/player.php?p=bagbyji01,False
Ray Caldwell,USA,1888-04-26,None Attended,https://www.baseball-almanac.com/players/player.php?p=caldwra02,False
Stan Coveleski,USA,1889-07-13,None Attended,https://www.baseball-almanac.com/players/player.php?p=covelst01,False
Duster Mails,USA,1894-10-01,Saint Mary's College of California,https://www.baseball-almanac.com/players/player.php?p=mailsdu01,True
George Uhle,USA,1898-09-18,None Attended,https://www.baseball-almanac.com/players/player.php?p=uhlege01,False
Leon Cadore,USA,1890-11-20,Gonzaga College,https://www.baseball-almanac.com/players/player.php?p=cadorle01,True
Burleigh Grimes,USA,1893-08-18,None Attended,https://www.baseball-almanac.com/players/player.php?p=grimebu01,False
Al Mamaux,USA,1894-05-30,Duquesne University,https://www.baseball-almanac.com/players/player.php?p=mamaual01,True
Clarence Mitchell,USA,1891-02-22,None Attended,https://www.baseball-almanac.com/players/player.php?p=mitchcl01,False
Jesse Barnes,USA,1892-08-26,None Attended,https://www.baseball-almanac.com/players/player.php?p=barneje01,False
Art Nehf,USA,1892-07-31,Rose Polytechnic Institute,https://www.baseball-almanac.com/players/player.php?p=nehfar01,True
Fred Toney,USA,1888-12-11,None Attended,https://www.baseball-almanac.com/players/player.php?p=toneyfr01,False
Rip Collins,USA,1896-02-26,Agricultural & Mechanical College of Texas,https://www.baseball-almanac.com/players/player.php?p=colliri01,True
Harry Harper,USA,1895-04-24,None Attended,https://www.baseball-almanac.com/players/player.php?p=harpeha01,False
Waite Hoyt,USA,1899-09-09,None Attended,https://www.baseball-almanac.com/players/player.php?p=hoytwa01,False
Bill Piercy,USA,1896-05-02,None Attended,https://www.baseball-almanac.com/players/player.php?p=piercbi01,False
Jack Quinn,Austria-Hungary,1883-07-01,None Attended,https://www.baseball-almanac.com/players/player.php?p=quinnja01,False
Tom Rogers,USA,1892-02-12,None Attended,https://www.baseball-almanac.com/players/player.php?p=rogerto01,False
Hugh Mcquillan,USA,1895-09-15,None Attended,https://www.baseball-almanac.com/players/player.php?p=mcquihu01,False
Rosy Ryan,USA,1898-03-15,College of the Holy Cross,https://www.baseball-almanac.com/players/player.php?p=ryanro01,True
Jack Scott,USA,1892-04-18,None Attended,https://www.baseball-almanac.com/players/player.php?p=scottja01,False
Virgil Barnes,USA,1897-03-05,None Attended,https://www.baseball-almanac.com/players/player.php?p=barnevi01,False
Jack Bentley,USA,1895-03-08,None Attended,https://www.baseball-almanac.com/players/player.php?p=bentlja01,False
Claude Jonnard,USA,1897-11-23,None Attended,https://www.baseball-almanac.com/players/player.php?p=jonnacl01,False
Mule Watson,USA,1896-10-15,Baylor University,https://www.baseball-almanac.com/players/player.php?p=watsomu01,True
Walter Johnson,USA,1887-11-06,None Attended,https://www.baseball-almanac.com/players/player.php?p=johnswa01,False
Firpo Marberry,USA,1898-11-30,None Attended,https://www.baseball-almanac.com/players/player.php?p=marbefi01,False
Joe Martina,USA,1889-07-08,None Attended,https://www.baseball-almanac.com/players/player.php?p=martijo02,False
George Mogridge,USA,1889-02-18,None Attended,https://www.baseball-almanac.com/players/player.php?p=mogrige01,False
Curly Ogden,USA,1901-01-24,Delaware (DNP) & Swarthmore,https://www.baseball-almanac.com/players/player.php?p=ogdencu01,True
Allen Russell,USA,1893-07-31,None Attended,https://www.baseball-almanac.com/players/player.php?p=russeal01,False
By Speece,USA,1897-01-06,None Attended,https://www.baseball-almanac.com/players/player.php?p=speecby01,False
Tom Zachary,USA,1896-05-07,Guilford College,https://www.baseball-almanac.com/players/player.php?p=zachato01,True
Harry Baldwin,USA,1900-06-03,None Attended,https://www.baseball-almanac.com/players/player.php?p=baldwha01,False
Wayland Dean,USA,1902-06-20,None Attended,https://www.baseball-almanac.com/players/player.php?p=deanwa01,False
Vic Aldridge,USA,1893-10-25,None Attended,https://www.baseball-almanac.com/players/player.php?p=aldrivi01,False
Ray Kremer,USA,1895-03-23,None Attended,https://www.baseball-almanac.com/players/player.php?p=kremera01,False
Lee Meadows,USA,1894-07-12,None Attended,https://www.baseball-almanac.com/players/player.php?p=meadole01,False
Johnny Morrison,USA,1895-10-22,None Attended,https://www.baseball-almanac.com/players/player.php?p=morrijo04,False
Red Oldham,USA,1893-07-15,None Attended,https://www.baseball-almanac.com/players/player.php?p=oldhare01,False
Emil Yde,USA,1900-01-28,None Attended,https://www.baseball-almanac.com/players/player.php?p=ydeem01,False
Win Ballou,USA,1897-11-30,None Attended,https://www.baseball-almanac.com/players/player.php?p=ballowi01,False
Alex Ferguson,USA,1897-02-16,None Attended,https://www.baseball-almanac.com/players/player.php?p=fergual01,False
Hi Bell,USA,1897-07-16,None Attended,https://www.baseball-almanac.com/players/player.php?p=bellhi01,False
Jesse Haines,USA,1893-07-22,None Attended,https://www.baseball-almanac.com/players/player.php?p=haineje01,False
Bill Hallahan,USA,1902-08-04,None Attended,https://www.baseball-almanac.com/players/player.php?p=hallabi01,False
Vic Keen,USA,1899-03-16,Maryland State College,https://www.baseball-almanac.com/players/player.php?p=keenvi01,True
Art Reinhart,USA,1899-05-29,State University of Iowa,https://www.baseball-almanac.com/players/player.php?p=reinhar01,True
Flint Rhem,USA,1901-01-24,Clemson Agricultural College,https://www.baseball-almanac.com/players/player.php?p=rhemfl01,True
Bill Sherdel,USA,1896-08-15,None Attended,https://www.baseball-almanac.com/players/player.php?p=sherdbi01,False
Urban Shocker,USA,1890-08-22,None Attended,https://www.baseball-almanac.com/players/player.php?p=shockur01,False
Myles Thomas,USA,1897-10-22,Pennsylvania State College,https://www.baseball-almanac.com/players/player.php?p=thomamy01,True
Wilcy Moore,USA,1897-05-20,None Attended,https://www.baseball-almanac.com/players/player.php?p=moorewi01,False
George Pipgras,USA,1899-12-20,None Attended,https://www.baseball-almanac.com/players/player.php?p=pipgrge01,False
Mike Cvengros,USA,1900-12-01,None Attended,https://www.baseball-almanac.com/players/player.php?p=cvengmi01,False
Joe Dawson,USA,1897-03-09,None Attended,https://www.baseball-almanac.com/players/player.php?p=dawsojo01,False
Carmen Hill,USA,1895-10-01,None Attended,https://www.baseball-almanac.com/players/player.php?p=hillca01,False
Johnny Miljus,USA,1895-06-30,Pittsburgh & Duquesne,https://www.baseball-almanac.com/players/player.php?p=miljujo01,True
Syl Johnson,USA,1900-12-31,None Attended,https://www.baseball-almanac.com/players/player.php?p=johnssy01,False
George Earnshaw,USA,1900-02-15,Swarthmore College,https://www.baseball-almanac.com/players/player.php?p=earnsge01,True
Howard Ehmke,USA,1894-04-24,None Attended,https://www.baseball-almanac.com/players/player.php?p=ehmkeho01,False
Lefty Grove,USA,1900-03-06,None Attended,https://www.baseball-almanac.com/players/player.php?p=grovele01,False
Eddie Rommel,USA,1897-09-13,None Attended,https://www.baseball-almanac.com/players/player.php?p=rommeed01,False
Rube Walberg,USA,1896-07-27,None Attended,https://www.baseball-almanac.com/players/player.php?p=walberu01,False
Sheriff Blake,USA,1899-09-17,West Virginia Wesleyan College,https://www.baseball-almanac.com/players/player.php?p=blakesh01,True
Guy Bush,USA,1901-08-23,None Attended,https://www.baseball-almanac.com/players/player.php?p=bushgu01,False
Hal Carlson,USA,1892-05-17,None Attended,https://www.baseball-almanac.com/players/player.php?p=carlsha01,False
Pat Malone,USA,1902-09-25,Juniata College,https://www.baseball-almanac.com/players/player.php?p=malonpa02,True
Charlie Root,USA,1899-03-17,None Attended,https://www.baseball-almanac.com/players/player.php?p=rootch01,False
Bill Shores,USA,1904-05-26,None Attended,https://www.baseball-almanac.com/players/player.php?p=shorebi01,False
Jim Lindsey,USA,1899-01-24,None Attended,https://www.baseball-almanac.com/players/player.php?p=lindsji01,False
Paul Derringer,USA,1906-10-17,None Attended,https://www.baseball-almanac.com/players/player.php?p=derripa01,False
Roy Mahaffey,USA,1904-02-09,None Attended,https://www.baseball-almanac.com/players/player.php?p=mahafro01,False
Johnny Allen,USA,1904-09-30,None Attended,https://www.baseball-almanac.com/players/player.php?p=allenjo02,False
Lefty Gomez,USA,1908-11-26,None Attended,https://www.baseball-almanac.com/players/player.php?p=gomezle01,False
Red Ruffing,USA,1905-05-03,None Attended,https://www.baseball-almanac.com/players/player.php?p=ruffire01,False
Jakie May,USA,1895-11-25,None Attended,https://www.baseball-almanac.com/players/player.php?p=mayja01,False
Bob Smith,USA,1895-04-22,None Attended,https://www.baseball-almanac.com/players/player.php?p=smithbo02,False
Bud Tinning,USA,1906-03-12,None Attended,https://www.baseball-almanac.com/players/player.php?p=tinnibu01,False
Lon Warneke,USA,1909-03-28,None Attended,https://www.baseball-almanac.com/players/player.php?p=warnelo01,False
Freddie Fitzsimmons,USA,1901-07-28,None Attended,https://www.baseball-almanac.com/players/player.php?p=fitzsfr01,False
Carl Hubbell,USA,1903-06-22,None Attended,https://www.baseball-almanac.com/players/player.php?p=hubbeca01,False
Hal Schumacher,USA,1910-11-23,St. Lawrence University,https://www.baseball-almanac.com/players/player.php?p=schumha02,True
Alvin Crowder,USA,1899-01-11,None Attended,https://www.baseball-almanac.com/players/player.php?p=crowdal01,False
Alex Mccoll,USA,1894-03-29,None Attended,https://www.baseball-almanac.com/players/player.php?p=mccolal01,False
Jack Russell,USA,1905-10-24,None Attended,https://www.baseball-almanac.com/players/player.php?p=russeja01,False
Lefty Stewart,USA,1900-09-23,None Attended,https://www.baseball-almanac.com/players/player.php?p=stewale01,False
Tommy Thomas,USA,1899-12-23,None Attended,https://www.baseball-almanac.com/players/player.php?p=thomato02,False
Monte Weaver,USA,1906-06-15,Emory & Henry College,https://www.baseball-almanac.com/players/player.php?p=weavemo01,True
Earl Whitehill,USA,1899-02-07,None Attended,https://www.baseball-almanac.com/players/player.php?p=whiteea01,False
Tex Carleton,USA,1906-08-19,Texas Christian University,https://www.baseball-almanac.com/players/player.php?p=carlete01,True
Dizzy Dean,USA,1910-01-16,None Attended,https://www.baseball-almanac.com/players/player.php?p=deandi01,False
Paul Dean,USA,1912-08-14,None Attended,https://www.baseball-almanac.com/players/player.php?p=deanpa01,False
Jim Mooney,USA,1906-09-04,East Tennessee State University,https://www.baseball-almanac.com/players/player.php?p=mooneji01,True
Dazzy Vance,USA,1891-03-04,None Attended,https://www.baseball-almanac.com/players/player.php?p=vanceda01,False
Bill Walker,USA,1903-10-07,None Attended,https://www.baseball-almanac.com/players/player.php?p=walkebi01,False
Elden Auker,USA,1910-09-21,Kansas State University,https://www.baseball-almanac.com/players/player.php?p=aukerel01,True
Tommy Bridges,USA,1906-12-28,University of Tennessee,https://www.baseball-almanac.com/players/player.php?p=bridgto01,True
Chief Hogsett,USA,1903-11-02,None Attended,https://www.baseball-almanac.com/players/player.php?p=hogsech01,False
Schoolboy Rowe,USA,1910-01-11,None Attended,https://www.baseball-almanac.com/players/player.php?p=rowesc01,False
Larry French,USA,1907-11-01,None Attended,https://www.baseball-almanac.com/players/player.php?p=frencla01,False
Roy Henshaw,USA,1911-07-29,University of Chicago,https://www.baseball-almanac.com/players/player.php?p=henshro01,True
Fabian Kowalik,USA,1908-04-22,None Attended,https://www.baseball-almanac.com/players/player.php?p=kowalfa01,False
Bill Lee,USA,1909-10-21,None Attended,https://www.baseball-almanac.com/players/player.php?p=leebi02,False
Bump Hadley,USA,1904-07-05,Brown University,https://www.baseball-almanac.com/players/player.php?p=hadlebu01,True
Johnny Murphy,USA,1908-07-14,Fordham University,https://www.baseball-almanac.com/players/player.php?p=murphjo04,True
Monte Pearson,USA,1908-09-02,"  University of California, Berkeley",https://www.baseball-almanac.com/players/player.php?p=pearsmo01,True
Slick Castleman,USA,1913-09-08,None Attended,https://www.baseball-almanac.com/players/player.php?p=castlsl01,False
Dick Coffman,USA,1906-12-18,None Attended,https://www.baseball-almanac.com/players/player.php?p=coffmdi01,False
Frank Gabler,USA,1911-11-06,None Attended,https://www.baseball-almanac.com/players/player.php?p=gablefr01,False
Harry Gumbert,USA,1909-11-05,None Attended,https://www.baseball-almanac.com/players/player.php?p=gumbeha01,False
Al Smith,USA,1907-10-12,None Attended,https://www.baseball-almanac.com/players/player.php?p=smithal03,False
Ivy Andrews,USA,1907-05-06,None Attended,https://www.baseball-almanac.com/players/player.php?p=andreiv01,False
Kemp Wicker,USA,1906-08-13,North Carolina State University (DNP),https://www.baseball-almanac.com/players/player.php?p=wickeke01,True
Don Brennan,USA,1903-12-02,Georgetown University,https://www.baseball-almanac.com/players/player.php?p=brenndo01,True
Cliff Melton,USA,1912-01-03,None Attended,https://www.baseball-almanac.com/players/player.php?p=meltocl01,False
Clay Bryant,USA,1911-11-16,None Attended,https://www.baseball-almanac.com/players/player.php?p=bryancl01,False
Vance Page,USA,1905-09-15,None Attended,https://www.baseball-almanac.com/players/player.php?p=pageva01,False
Oral Hildebrand,USA,1907-04-07,Butler University,https://www.baseball-almanac.com/players/player.php?p=hildeor01,True
Steve Sundra,USA,1910-03-27,None Attended,https://www.baseball-almanac.com/players/player.php?p=sundrst01,False
Lee Grissom,USA,1907-10-23,None Attended,https://www.baseball-almanac.com/players/player.php?p=grissle01,False
Whitey Moore,USA,1912-06-10,None Attended,https://www.baseball-almanac.com/players/player.php?p=moorewh01,False
Junior Thompson,USA,1917-06-07,None Attended,https://www.baseball-almanac.com/players/player.php?p=thompju01,False
Bucky Walters,USA,1909-04-19,None Attended,https://www.baseball-almanac.com/players/player.php?p=waltebu01,False
Joe Beggs,USA,1910-11-04,Geneva College,https://www.baseball-almanac.com/players/player.php?p=beggsjo01,True
Johnny Hutchings,USA,1916-04-14,None Attended,https://www.baseball-almanac.com/players/player.php?p=hutchjo02,False
Elmer Riddle,USA,1914-07-31,None Attended,https://www.baseball-almanac.com/players/player.php?p=riddlel01,False
Jim Turner,USA,1903-08-06,None Attended,https://www.baseball-almanac.com/players/player.php?p=turneji01,False
Johnny Vander Meer,USA,1914-11-02,None Attended,https://www.baseball-almanac.com/players/player.php?p=vandejo01,False
Johnny Gorsica,USA,1915-03-29,West Virginia University,https://www.baseball-almanac.com/players/player.php?p=gorsijo01,True
Fred Hutchinson,USA,1919-08-12,None Attended,https://www.baseball-almanac.com/players/player.php?p=hutchfr01,False
Archie Mckain,USA,1911-05-12,None Attended,https://www.baseball-almanac.com/players/player.php?p=mckaiar01,False
Bobo Newsom,USA,1907-08-11,None Attended,https://www.baseball-almanac.com/players/player.php?p=newsobo01,False
Clay Smith,USA,1914-09-11,Southwestern College,https://www.baseball-almanac.com/players/player.php?p=smithcl01,True
Dizzy Trout,USA,1915-06-29,None Attended,https://www.baseball-almanac.com/players/player.php?p=troutdi01,False
Tiny Bonham,USA,1913-08-16,None Attended,https://www.baseball-almanac.com/players/player.php?p=bonhati01,False
Marv Breuer,USA,1914-04-29,Missouri School of Mines (DNP),https://www.baseball-almanac.com/players/player.php?p=breuema01,True
Spud Chandler,USA,1907-09-12,University of Georgia,https://www.baseball-almanac.com/players/player.php?p=chandsp01,True
Atley Donald,USA,1910-08-19,Louisiana Tech University,https://www.baseball-almanac.com/players/player.php?p=donalat01,True
Marius Russo,USA,1914-07-19,Brooklyn College & LIU Brooklyn,https://www.baseball-almanac.com/players/player.php?p=russoma01,True
Hugh Casey,USA,1913-10-14,None Attended,https://www.baseball-almanac.com/players/player.php?p=caseyhu01,False
Curt Davis,USA,1903-09-07,None Attended,https://www.baseball-almanac.com/players/player.php?p=daviscu01,False
Kirby Higbe,USA,1915-04-08,None Attended,https://www.baseball-almanac.com/players/player.php?p=higbeki01,False
Whit Wyatt,USA,1907-09-27,Georgia School of Technology,https://www.baseball-almanac.com/players/player.php?p=wyattwh01,True
Johnny Beazley,USA,1918-05-25,None Attended,https://www.baseball-almanac.com/players/player.php?p=beazljo01,False
Mort Cooper,USA,1913-03-02,None Attended,https://www.baseball-almanac.com/players/player.php?p=coopemo01,False
Max Lanier,USA,1915-08-18,None Attended,https://www.baseball-almanac.com/players/player.php?p=laniema01,False
Howie Pollet,USA,1921-06-26,None Attended,https://www.baseball-almanac.com/players/player.php?p=polleho01,False
Ernie White,USA,1916-09-05,None Attended,https://www.baseball-almanac.com/players/player.php?p=whiteer01,False
Hank Borowy,USA,1916-05-12,Fordham University,https://www.baseball-almanac.com/players/player.php?p=borowha01,True
Al Brazle,USA,1913-10-19,None Attended,https://www.baseball-almanac.com/players/player.php?p=brazlal01,False
Harry Brecheen,USA,1914-10-14,East Central State Normal School,https://www.baseball-almanac.com/players/player.php?p=brechha01,True
Murry Dickson,USA,1916-08-21,None Attended,https://www.baseball-almanac.com/players/player.php?p=dicksmu01,False
Howie Krist,USA,1916-02-28,None Attended,https://www.baseball-almanac.com/players/player.php?p=kristho01,False
Bud Byerly,USA,1919-10-26,None Attended,https://www.baseball-almanac.com/players/player.php?p=byerlbu01,False
Blix Donnelly,USA,1914-01-21,None Attended,https://www.baseball-almanac.com/players/player.php?p=donnebl01,False
Al Jurisich,USA,1921-08-25,None Attended,https://www.baseball-almanac.com/players/player.php?p=jurisal01,False
Freddy Schmidt,USA,1916-02-09,None Attended,https://www.baseball-almanac.com/players/player.php?p=schmifr01,False
Ted Wilks,USA,1915-11-13,None Attended,https://www.baseball-almanac.com/players/player.php?p=wilkste01,False
Denny Galehouse,USA,1911-12-07,None Attended,https://www.baseball-almanac.com/players/player.php?p=galehde01,False
Al Hollingsworth,USA,1908-02-25,None Attended,https://www.baseball-almanac.com/players/player.php?p=hollial01,False
Sig Jakucki,USA,1909-08-20,None Attended,https://www.baseball-almanac.com/players/player.php?p=jakucsi01,False
Jack Kramer,USA,1918-01-05,None Attended,https://www.baseball-almanac.com/players/player.php?p=krameja01,False
Bob Muncrief,USA,1916-01-28,None Attended,https://www.baseball-almanac.com/players/player.php?p=muncrbo01,False
Nels Potter,USA,1911-08-23,Manchester College,https://www.baseball-almanac.com/players/player.php?p=pottene01,True
