year,nl,nl score,al,al score,games_links,al pitchers,nl pitchers,al pitchers links,nl pitchers links,al pitchers and links,nl pitchers and links
1936,New York Giants,2,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1936ws.shtml,"['Lefty Gomez', 'Bump Hadley', 'Pat Malone', 'Johnny Murphy', 'Monte Pearson', 'Red Ruffing']","['Slick Castleman', 'Dick Coffman', 'Freddie Fitzsimmons', 'Frank Gabler', 'Harry Gumbert', 'Carl Hubbell', 'Hal Schumacher', 'Al Smith']","['https://www.baseball-almanac.com/players/player.php?p=gomezle01', 'https://www.baseball-almanac.com/players/player.php?p=hadlebu01', 'https://www.baseball-almanac.com/players/player.php?p=malonpa02', 'https://www.baseball-almanac.com/players/player.php?p=murphjo04', 'https://www.baseball-almanac.com/players/player.php?p=pearsmo01', 'https://www.baseball-almanac.com/players/player.php?p=ruffire01']","['https://www.baseball-almanac.com/players/player.php?p=castlsl01', 'https://www.baseball-almanac.com/players/player.php?p=coffmdi01', 'https://www.baseball-almanac.com/players/player.php?p=fitzsfr01', 'https://www.baseball-almanac.com/players/player.php?p=gablefr01', 'https://www.baseball-almanac.com/players/player.php?p=gumbeha01', 'https://www.baseball-almanac.com/players/player.php?p=hubbeca01', 'https://www.baseball-almanac.com/players/player.php?p=schumha02', 'https://www.baseball-almanac.com/players/player.php?p=smithal03']","[{'pitcher_name': 'Lefty Gomez', 'link': 'https://www.baseball-almanac.com/players/player.php?p=gomezle01'}, {'pitcher_name': 'Bump Hadley', 'link': 'https://www.baseball-almanac.com/players/player.php?p=hadlebu01'}, {'pitcher_name': 'Pat Malone', 'link': 'https://www.baseball-almanac.com/players/player.php?p=malonpa02'}, {'pitcher_name': 'Johnny Murphy', 'link': 'https://www.baseball-almanac.com/players/player.php?p=murphjo04'}, {'pitcher_name': 'Monte Pearson', 'link': 'https://www.baseball-almanac.com/players/player.php?p=pearsmo01'}, {'pitcher_name': 'Red Ruffing', 'link': 'https://www.baseball-almanac.com/players/player.php?p=ruffire01'}]","[{'pitcher_name': 'Slick Castleman', 'link': 'https://www.baseball-almanac.com/players/player.php?p=castlsl01'}, {'pitcher_name': 'Dick Coffman', 'link': 'https://www.baseball-almanac.com/players/player.php?p=coffmdi01'}, {'pitcher_name': 'Freddie Fitzsimmons', 'link': 'https://www.baseball-almanac.com/players/player.php?p=fitzsfr01'}, {'pitcher_name': 'Frank Gabler', 'link': 'https://www.baseball-almanac.com/players/player.php?p=gablefr01'}, {'pitcher_name': 'Harry Gumbert', 'link': 'https://www.baseball-almanac.com/players/player.php?p=gumbeha01'}, {'pitcher_name': 'Carl Hubbell', 'link': 'https://www.baseball-almanac.com/players/player.php?p=hubbeca01'}, {'pitcher_name': 'Hal Schumacher', 'link': 'https://www.baseball-almanac.com/players/player.php?p=schumha02'}, {'pitcher_name': 'Al Smith', 'link': 'https://www.baseball-almanac.com/players/player.php?p=smithal03'}]"
1937,New York Giants,1,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1937ws.shtml,"['Ivy Andrews', 'Lefty Gomez', 'Bump Hadley', 'Johnny Murphy', 'Monte Pearson', 'Red Ruffing', 'Kemp Wicker']","['Don Brennan', 'Dick Coffman', 'Harry Gumbert', 'Carl Hubbell', 'Cliff Melton', 'Hal Schumacher', 'Al Smith']","['https://www.baseball-almanac.com/players/player.php?p=andreiv01', 'https://www.baseball-almanac.com/players/player.php?p=gomezle01', 'https://www.baseball-almanac.com/players/player.php?p=hadlebu01', 'https://www.baseball-almanac.com/players/player.php?p=murphjo04', 'https://www.baseball-almanac.com/players/player.php?p=pearsmo01', 'https://www.baseball-almanac.com/players/player.php?p=ruffire01', 'https://www.baseball-almanac.com/players/player.php?p=wickeke01']","['https://www.baseball-almanac.com/players/player.php?p=brenndo01', 'https://www.baseball-almanac.com/players/player.php?p=coffmdi01', 'https://www.baseball-almanac.com/players/player.php?p=gumbeha01', 'https://www.baseball-almanac.com/players/player.php?p=hubbeca01', 'https://www.baseball-almanac.com/players/player.php?p=meltocl01', 'https://www.baseball-almanac.com/players/player.php?p=schumha02', 'https://www.baseball-almanac.com/players/player.php?p=smithal03']","[{'pitcher_name': 'Ivy Andrews', 'link': 'https://www.baseball-almanac.com/players/player.php?p=andreiv01'}, {'pitcher_name': 'Lefty Gomez', 'link': 'https://www.baseball-almanac.com/players/player.php?p=gomezle01'}, {'pitcher_name': 'Bump Hadley', 'link': 'https://www.baseball-almanac.com/players/player.php?p=hadlebu01'}, {'pitcher_name': 'Johnny Murphy', 'link': 'https://www.baseball-almanac.com/players/player.php?p=murphjo04'}, {'pitcher_name': 'Monte Pearson', 'link': 'https://www.baseball-almanac.com/players/player.php?p=pearsmo01'}, {'pitcher_name': 'Red Ruffing', 'link': 'https://www.baseball-almanac.com/players/player.php?p=ruffire01'}, {'pitcher_name': 'Kemp Wicker', 'link': 'https://www.baseball-almanac.com/players/player.php?p=wickeke01'}]","[{'pitcher_name': 'Don Brennan', 'link': 'https://www.baseball-almanac.com/players/player.php?p=brenndo01'}, {'pitcher_name': 'Dick Coffman', 'link': 'https://www.baseball-almanac.com/players/player.php?p=coffmdi01'}, {'pitcher_name': 'Harry Gumbert', 'link': 'https://www.baseball-almanac.com/players/player.php?p=gumbeha01'}, {'pitcher_name': 'Carl Hubbell', 'link': 'https://www.baseball-almanac.com/players/player.php?p=hubbeca01'}, {'pitcher_name': 'Cliff Melton', 'link': 'https://www.baseball-almanac.com/players/player.php?p=meltocl01'}, {'pitcher_name': 'Hal Schumacher', 'link': 'https://www.baseball-almanac.com/players/player.php?p=schumha02'}, {'pitcher_name': 'Al Smith', 'link': 'https://www.baseball-almanac.com/players/player.php?p=smithal03'}]"
1938,Chicago Cubs,0,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1938ws.shtml,"['Lefty Gomez', 'Johnny Murphy', 'Monte Pearson', 'Red Ruffing']","['Clay Bryant', 'Tex Carleton', 'Dizzy Dean', 'Larry French', 'Bill Lee', 'Vance Page', 'Charlie Root', 'Jack Russell']","['https://www.baseball-almanac.com/players/player.php?p=gomezle01', 'https://www.baseball-almanac.com/players/player.php?p=murphjo04', 'https://www.baseball-almanac.com/players/player.php?p=pearsmo01', 'https://www.baseball-almanac.com/players/player.php?p=ruffire01']","['https://www.baseball-almanac.com/players/player.php?p=bryancl01', 'https://www.baseball-almanac.com/players/player.php?p=carlete01', 'https://www.baseball-almanac.com/players/player.php?p=deandi01', 'https://www.baseball-almanac.com/players/player.php?p=frencla01', 'https://www.baseball-almanac.com/players/player.php?p=leebi02', 'https://www.baseball-almanac.com/players/player.php?p=pageva01', 'https://www.baseball-almanac.com/players/player.php?p=rootch01', 'https://www.baseball-almanac.com/players/player.php?p=russeja01']","[{'pitcher_name': 'Lefty Gomez', 'link': 'https://www.baseball-almanac.com/players/player.php?p=gomezle01'}, {'pitcher_name': 'Johnny Murphy', 'link': 'https://www.baseball-almanac.com/players/player.php?p=murphjo04'}, {'pitcher_name': 'Monte Pearson', 'link': 'https://www.baseball-almanac.com/players/player.php?p=pearsmo01'}, {'pitcher_name': 'Red Ruffing', 'link': 'https://www.baseball-almanac.com/players/player.php?p=ruffire01'}]","[{'pitcher_name': 'Clay Bryant', 'link': 'https://www.baseball-almanac.com/players/player.php?p=bryancl01'}, {'pitcher_name': 'Tex Carleton', 'link': 'https://www.baseball-almanac.com/players/player.php?p=carlete01'}, {'pitcher_name': 'Dizzy Dean', 'link': 'https://www.baseball-almanac.com/players/player.php?p=deandi01'}, {'pitcher_name': 'Larry French', 'link': 'https://www.baseball-almanac.com/players/player.php?p=frencla01'}, {'pitcher_name': 'Bill Lee', 'link': 'https://www.baseball-almanac.com/players/player.php?p=leebi02'}, {'pitcher_name': 'Vance Page', 'link': 'https://www.baseball-almanac.com/players/player.php?p=pageva01'}, {'pitcher_name': 'Charlie Root', 'link': 'https://www.baseball-almanac.com/players/player.php?p=rootch01'}, {'pitcher_name': 'Jack Russell', 'link': 'https://www.baseball-almanac.com/players/player.php?p=russeja01'}]"
1939,Cincinnati Reds,0,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1939ws.shtml,"['Lefty Gomez', 'Bump Hadley', 'Oral Hildrebrand', 'Johnny Murphy', 'Monte Pearson', 'Red Ruffing', 'Steve Sundra']","['Paul Derringer', 'Lee Grissom', 'Whitey Moore', 'Junior Thompson', 'Bucky Walters']","['https://www.baseball-almanac.com/players/player.php?p=gomezle01', 'https://www.baseball-almanac.com/players/player.php?p=hadlebu01', 'https://www.baseball-almanac.com/players/player.php?p=hildeor01', 'https://www.baseball-almanac.com/players/player.php?p=murphjo04', 'https://www.baseball-almanac.com/players/player.php?p=pearsmo01', 'https://www.baseball-almanac.com/players/player.php?p=ruffire01', 'https://www.baseball-almanac.com/players/player.php?p=sundrst01']","['https://www.baseball-almanac.com/players/player.php?p=derripa01', 'https://www.baseball-almanac.com/players/player.php?p=grissle01', 'https://www.baseball-almanac.com/players/player.php?p=moorewh01', 'https://www.baseball-almanac.com/players/player.php?p=thompju01', 'https://www.baseball-almanac.com/players/player.php?p=waltebu01']","[{'pitcher_name': 'Lefty Gomez', 'link': 'https://www.baseball-almanac.com/players/player.php?p=gomezle01'}, {'pitcher_name': 'Bump Hadley', 'link': 'https://www.baseball-almanac.com/players/player.php?p=hadlebu01'}, {'pitcher_name': 'Oral Hildrebrand', 'link': 'https://www.baseball-almanac.com/players/player.php?p=hildeor01'}, {'pitcher_name': 'Johnny Murphy', 'link': 'https://www.baseball-almanac.com/players/player.php?p=murphjo04'}, {'pitcher_name': 'Monte Pearson', 'link': 'https://www.baseball-almanac.com/players/player.php?p=pearsmo01'}, {'pitcher_name': 'Red Ruffing', 'link': 'https://www.baseball-almanac.com/players/player.php?p=ruffire01'}, {'pitcher_name': 'Steve Sundra', 'link': 'https://www.baseball-almanac.com/players/player.php?p=sundrst01'}]","[{'pitcher_name': 'Paul Derringer', 'link': 'https://www.baseball-almanac.com/players/player.php?p=derripa01'}, {'pitcher_name': 'Lee Grissom', 'link': 'https://www.baseball-almanac.com/players/player.php?p=grissle01'}, {'pitcher_name': 'Whitey Moore', 'link': 'https://www.baseball-almanac.com/players/player.php?p=moorewh01'}, {'pitcher_name': 'Junior Thompson', 'link': 'https://www.baseball-almanac.com/players/player.php?p=thompju01'}, {'pitcher_name': 'Bucky Walters', 'link': 'https://www.baseball-almanac.com/players/player.php?p=waltebu01'}]"
1940,Cincinnati Reds,4,Detroit Tigers,3,https://www.baseball-almanac.com/ws/yr1940ws.shtml,"['Tommy Bridges', 'Johnny Gorsica', 'Fred Hutchinson', 'Archie Mckain', 'Bobo Newsom', 'Schoolboy Rowe', 'Clay Smith', 'Dizzy Trout']","['Joe Beggs', 'Paul Derringer', 'Johnny Hutchings', 'Whitey Moore', 'Elmer Riddle', 'Junior Thompson', 'Jim Turner', 'Johnny Vander Meer', 'Bucky Walters']","['https://www.baseball-almanac.com/players/player.php?p=bridgto01', 'https://www.baseball-almanac.com/players/player.php?p=gorsijo01', 'https://www.baseball-almanac.com/players/player.php?p=hutchfr01', 'https://www.baseball-almanac.com/players/player.php?p=mckaiar01', 'https://www.baseball-almanac.com/players/player.php?p=newsobo01', 'https://www.baseball-almanac.com/players/player.php?p=rowesc01', 'https://www.baseball-almanac.com/players/player.php?p=smithcl01', 'https://www.baseball-almanac.com/players/player.php?p=troutdi01']","['https://www.baseball-almanac.com/players/player.php?p=beggsjo01', 'https://www.baseball-almanac.com/players/player.php?p=derripa01', 'https://www.baseball-almanac.com/players/player.php?p=hutchjo02', 'https://www.baseball-almanac.com/players/player.php?p=moorewh01', 'https://www.baseball-almanac.com/players/player.php?p=riddlel01', 'https://www.baseball-almanac.com/players/player.php?p=thompju01', 'https://www.baseball-almanac.com/players/player.php?p=turneji01', 'https://www.baseball-almanac.com/players/player.php?p=vandejo01', 'https://www.baseball-almanac.com/players/player.php?p=waltebu01']","[{'pitcher_name': 'Tommy Bridges', 'link': 'https://www.baseball-almanac.com/players/player.php?p=bridgto01'}, {'pitcher_name': 'Johnny Gorsica', 'link': 'https://www.baseball-almanac.com/players/player.php?p=gorsijo01'}, {'pitcher_name': 'Fred Hutchinson', 'link': 'https://www.baseball-almanac.com/players/player.php?p=hutchfr01'}, {'pitcher_name': 'Archie Mckain', 'link': 'https://www.baseball-almanac.com/players/player.php?p=mckaiar01'}, {'pitcher_name': 'Bobo Newsom', 'link': 'https://www.baseball-almanac.com/players/player.php?p=newsobo01'}, {'pitcher_name': 'Schoolboy Rowe', 'link': 'https://www.baseball-almanac.com/players/player.php?p=rowesc01'}, {'pitcher_name': 'Clay Smith', 'link': 'https://www.baseball-almanac.com/players/player.php?p=smithcl01'}, {'pitcher_name': 'Dizzy Trout', 'link': 'https://www.baseball-almanac.com/players/player.php?p=troutdi01'}]","[{'pitcher_name': 'Joe Beggs', 'link': 'https://www.baseball-almanac.com/players/player.php?p=beggsjo01'}, {'pitcher_name': 'Paul Derringer', 'link': 'https://www.baseball-almanac.com/players/player.php?p=derripa01'}, {'pitcher_name': 'Johnny Hutchings', 'link': 'https://www.baseball-almanac.com/players/player.php?p=hutchjo02'}, {'pitcher_name': 'Whitey Moore', 'link': 'https://www.baseball-almanac.com/players/player.php?p=moorewh01'}, {'pitcher_name': 'Elmer Riddle', 'link': 'https://www.baseball-almanac.com/players/player.php?p=riddlel01'}, {'pitcher_name': 'Junior Thompson', 'link': 'https://www.baseball-almanac.com/players/player.php?p=thompju01'}, {'pitcher_name': 'Jim Turner', 'link': 'https://www.baseball-almanac.com/players/player.php?p=turneji01'}, {'pitcher_name': 'Johnny Vander Meer', 'link': 'https://www.baseball-almanac.com/players/player.php?p=vandejo01'}, {'pitcher_name': 'Bucky Walters', 'link': 'https://www.baseball-almanac.com/players/player.php?p=waltebu01'}]"
1941,Brooklyn Dodgers,1,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1941ws.shtml,"['Tiny Bonham', 'Marv Breuer', 'Spud Chandler', 'Atley Donald', 'Johnny Murphy', 'Red Ruffing', 'Marius Russo']","['Johnny Allen', 'Hugh Casey', 'Curt Davis', 'Freddie Fitzsimmons', 'Larry French', 'Kirby Higbe', 'Whit Wyatt']","['https://www.baseball-almanac.com/players/player.php?p=bonhati01', 'https://www.baseball-almanac.com/players/player.php?p=breuema01', 'https://www.baseball-almanac.com/players/player.php?p=chandsp01', 'https://www.baseball-almanac.com/players/player.php?p=donalat01', 'https://www.baseball-almanac.com/players/player.php?p=murphjo04', 'https://www.baseball-almanac.com/players/player.php?p=ruffire01', 'https://www.baseball-almanac.com/players/player.php?p=russoma01']","['https://www.baseball-almanac.com/players/player.php?p=allenjo02', 'https://www.baseball-almanac.com/players/player.php?p=caseyhu01', 'https://www.baseball-almanac.com/players/player.php?p=daviscu01', 'https://www.baseball-almanac.com/players/player.php?p=fitzsfr01', 'https://www.baseball-almanac.com/players/player.php?p=frencla01', 'https://www.baseball-almanac.com/players/player.php?p=higbeki01', 'https://www.baseball-almanac.com/players/player.php?p=wyattwh01']","[{'pitcher_name': 'Tiny Bonham', 'link': 'https://www.baseball-almanac.com/players/player.php?p=bonhati01'}, {'pitcher_name': 'Marv Breuer', 'link': 'https://www.baseball-almanac.com/players/player.php?p=breuema01'}, {'pitcher_name': 'Spud Chandler', 'link': 'https://www.baseball-almanac.com/players/player.php?p=chandsp01'}, {'pitcher_name': 'Atley Donald', 'link': 'https://www.baseball-almanac.com/players/player.php?p=donalat01'}, {'pitcher_name': 'Johnny Murphy', 'link': 'https://www.baseball-almanac.com/players/player.php?p=murphjo04'}, {'pitcher_name': 'Red Ruffing', 'link': 'https://www.baseball-almanac.com/players/player.php?p=ruffire01'}, {'pitcher_name': 'Marius Russo', 'link': 'https://www.baseball-almanac.com/players/player.php?p=russoma01'}]","[{'pitcher_name': 'Johnny Allen', 'link': 'https://www.baseball-almanac.com/players/player.php?p=allenjo02'}, {'pitcher_name': 'Hugh Casey', 'link': 'https://www.baseball-almanac.com/players/player.php?p=caseyhu01'}, {'pitcher_name': 'Curt Davis', 'link': 'https://www.baseball-almanac.com/players/player.php?p=daviscu01'}, {'pitcher_name': 'Freddie Fitzsimmons', 'link': 'https://www.baseball-almanac.com/players/player.php?p=fitzsfr01'}, {'pitcher_name': 'Larry French', 'link': 'https://www.baseball-almanac.com/players/player.php?p=frencla01'}, {'pitcher_name': 'Kirby Higbe', 'link': 'https://www.baseball-almanac.com/players/player.php?p=higbeki01'}, {'pitcher_name': 'Whit Wyatt', 'link': 'https://www.baseball-almanac.com/players/player.php?p=wyattwh01'}]"
1942,St. Louis Cardinals,4,New York Yankees,1,https://www.baseball-almanac.com/ws/yr1942ws.shtml,"['Tiny Bonham', 'Hank Borowy', 'Marv Breuer', 'Spud Chandler', 'Atley Donald', 'Red Ruffing', 'Jim Turner']","['Johnny Beazley', 'Mort Cooper', 'Harry Gumbert', 'Max Lanier', 'Howie Pollet', 'Ernie White']","['https://www.baseball-almanac.com/players/player.php?p=bonhati01', 'https://www.baseball-almanac.com/players/player.php?p=borowha01', 'https://www.baseball-almanac.com/players/player.php?p=breuema01', 'https://www.baseball-almanac.com/players/player.php?p=chandsp01', 'https://www.baseball-almanac.com/players/player.php?p=donalat01', 'https://www.baseball-almanac.com/players/player.php?p=ruffire01', 'https://www.baseball-almanac.com/players/player.php?p=turneji01']","['https://www.baseball-almanac.com/players/player.php?p=beazljo01', 'https://www.baseball-almanac.com/players/player.php?p=coopemo01', 'https://www.baseball-almanac.com/players/player.php?p=gumbeha01', 'https://www.baseball-almanac.com/players/player.php?p=laniema01', 'https://www.baseball-almanac.com/players/player.php?p=polleho01', 'https://www.baseball-almanac.com/players/player.php?p=whiteer01']","[{'pitcher_name': 'Tiny Bonham', 'link': 'https://www.baseball-almanac.com/players/player.php?p=bonhati01'}, {'pitcher_name': 'Hank Borowy', 'link': 'https://www.baseball-almanac.com/players/player.php?p=borowha01'}, {'pitcher_name': 'Marv Breuer', 'link': 'https://www.baseball-almanac.com/players/player.php?p=breuema01'}, {'pitcher_name': 'Spud Chandler', 'link': 'https://www.baseball-almanac.com/players/player.php?p=chandsp01'}, {'pitcher_name': 'Atley Donald', 'link': 'https://www.baseball-almanac.com/players/player.php?p=donalat01'}, {'pitcher_name': 'Red Ruffing', 'link': 'https://www.baseball-almanac.com/players/player.php?p=ruffire01'}, {'pitcher_name': 'Jim Turner', 'link': 'https://www.baseball-almanac.com/players/player.php?p=turneji01'}]","[{'pitcher_name': 'Johnny Beazley', 'link': 'https://www.baseball-almanac.com/players/player.php?p=beazljo01'}, {'pitcher_name': 'Mort Cooper', 'link': 'https://www.baseball-almanac.com/players/player.php?p=coopemo01'}, {'pitcher_name': 'Harry Gumbert', 'link': 'https://www.baseball-almanac.com/players/player.php?p=gumbeha01'}, {'pitcher_name': 'Max Lanier', 'link': 'https://www.baseball-almanac.com/players/player.php?p=laniema01'}, {'pitcher_name': 'Howie Pollet', 'link': 'https://www.baseball-almanac.com/players/player.php?p=polleho01'}, {'pitcher_name': 'Ernie White', 'link': 'https://www.baseball-almanac.com/players/player.php?p=whiteer01'}]"
1943,St. Louis Cardinals,1,New York Yankees,4,https://www.baseball-almanac.com/ws/yr1943ws.shtml,"['Tiny Bonham', 'Hank Borowy', 'Spud Chandler', 'Johnny Murphy', 'Marius Russo']","['Al Brazle', 'Harry Brecheen', 'Mort Cooper', 'Murry Dickson', 'Howie Krist', 'Max Lanier']","['https://www.baseball-almanac.com/players/player.php?p=bonhati01', 'https://www.baseball-almanac.com/players/player.php?p=borowha01', 'https://www.baseball-almanac.com/players/player.php?p=chandsp01', 'https://www.baseball-almanac.com/players/player.php?p=murphjo04', 'https://www.baseball-almanac.com/players/player.php?p=russoma01']","['https://www.baseball-almanac.com/players/player.php?p=brazlal01', 'https://www.baseball-almanac.com/players/player.php?p=brechha01', 'https://www.baseball-almanac.com/players/player.php?p=coopemo01', 'https://www.baseball-almanac.com/players/player.php?p=dicksmu01', 'https://www.baseball-almanac.com/players/player.php?p=kristho01', 'https://www.baseball-almanac.com/players/player.php?p=laniema01']","[{'pitcher_name': 'Tiny Bonham', 'link': 'https://www.baseball-almanac.com/players/player.php?p=bonhati01'}, {'pitcher_name': 'Hank Borowy', 'link': 'https://www.baseball-almanac.com/players/player.php?p=borowha01'}, {'pitcher_name': 'Spud Chandler', 'link': 'https://www.baseball-almanac.com/players/player.php?p=chandsp01'}, {'pitcher_name': 'Johnny Murphy', 'link': 'https://www.baseball-almanac.com/players/player.php?p=murphjo04'}, {'pitcher_name': 'Marius Russo', 'link': 'https://www.baseball-almanac.com/players/player.php?p=russoma01'}]","[{'pitcher_name': 'Al Brazle', 'link': 'https://www.baseball-almanac.com/players/player.php?p=brazlal01'}, {'pitcher_name': 'Harry Brecheen', 'link': 'https://www.baseball-almanac.com/players/player.php?p=brechha01'}, {'pitcher_name': 'Mort Cooper', 'link': 'https://www.baseball-almanac.com/players/player.php?p=coopemo01'}, {'pitcher_name': 'Murry Dickson', 'link': 'https://www.baseball-almanac.com/players/player.php?p=dicksmu01'}, {'pitcher_name': 'Howie Krist', 'link': 'https://www.baseball-almanac.com/players/player.php?p=kristho01'}, {'pitcher_name': 'Max Lanier', 'link': 'https://www.baseball-almanac.com/players/player.php?p=laniema01'}]"
1944,St. Louis Cardinals,4,St. Louis Browns,2,https://www.baseball-almanac.com/ws/yr1944ws.shtml,"['Denny Galehouse', 'Al Hollingsworth', 'Sig Jakucki', 'Jack Kramer', 'Bob Muncrief', 'Nels Potter', 'Tex Shirley']","['Harry Brecheen', 'Bud Byerly', 'Mort Cooper', 'Blix Donnelly', 'Al Jurisich', 'Max Lanier', 'Freddy Schmidt', 'Ted Wilks']","['https://www.baseball-almanac.com/players/player.php?p=galehde01', 'https://www.baseball-almanac.com/players/player.php?p=hollial01', 'https://www.baseball-almanac.com/players/player.php?p=jakucsi01', 'https://www.baseball-almanac.com/players/player.php?p=krameja01', 'https://www.baseball-almanac.com/players/player.php?p=muncrbo01', 'https://www.baseball-almanac.com/players/player.php?p=pottene01', 'https://www.baseball-almanac.com/players/player.php?p=shirlte01']","['https://www.baseball-almanac.com/players/player.php?p=brechha01', 'https://www.baseball-almanac.com/players/player.php?p=byerlbu01', 'https://www.baseball-almanac.com/players/player.php?p=coopemo01', 'https://www.baseball-almanac.com/players/player.php?p=donnebl01', 'https://www.baseball-almanac.com/players/player.php?p=jurisal01', 'https://www.baseball-almanac.com/players/player.php?p=laniema01', 'https://www.baseball-almanac.com/players/player.php?p=schmifr01', 'https://www.baseball-almanac.com/players/player.php?p=wilkste01']","[{'pitcher_name': 'Denny Galehouse', 'link': 'https://www.baseball-almanac.com/players/player.php?p=galehde01'}, {'pitcher_name': 'Al Hollingsworth', 'link': 'https://www.baseball-almanac.com/players/player.php?p=hollial01'}, {'pitcher_name': 'Sig Jakucki', 'link': 'https://www.baseball-almanac.com/players/player.php?p=jakucsi01'}, {'pitcher_name': 'Jack Kramer', 'link': 'https://www.baseball-almanac.com/players/player.php?p=krameja01'}, {'pitcher_name': 'Bob Muncrief', 'link': 'https://www.baseball-almanac.com/players/player.php?p=muncrbo01'}, {'pitcher_name': 'Nels Potter', 'link': 'https://www.baseball-almanac.com/players/player.php?p=pottene01'}, {'pitcher_name': 'Tex Shirley', 'link': 'https://www.baseball-almanac.com/players/player.php?p=shirlte01'}]","[{'pitcher_name': 'Harry Brecheen', 'link': 'https://www.baseball-almanac.com/players/player.php?p=brechha01'}, {'pitcher_name': 'Bud Byerly', 'link': 'https://www.baseball-almanac.com/players/player.php?p=byerlbu01'}, {'pitcher_name': 'Mort Cooper', 'link': 'https://www.baseball-almanac.com/players/player.php?p=coopemo01'}, {'pitcher_name': 'Blix Donnelly', 'link': 'https://www.baseball-almanac.com/players/player.php?p=donnebl01'}, {'pitcher_name': 'Al Jurisich', 'link': 'https://www.baseball-almanac.com/players/player.php?p=jurisal01'}, {'pitcher_name': 'Max Lanier', 'link': 'https://www.baseball-almanac.com/players/player.php?p=laniema01'}, {'pitcher_name': 'Freddy Schmidt', 'link': 'https://www.baseball-almanac.com/players/player.php?p=schmifr01'}, {'pitcher_name': 'Ted Wilks', 'link': 'https://www.baseball-almanac.com/players/player.php?p=wilkste01'}]"
1945,Chicago Cubs,3,Detroit Tigers,4,https://www.baseball-almanac.com/ws/yr1945ws.shtml,"['Al Benton', 'Tommy Bridges', 'George Caster', 'Les Mueller', 'Hal Newhouser', 'Stubby Overmire', 'Jim Tobin', 'Dizzy Trout', 'Virgil Trucks']","['Hank Borowy', 'Bob Chipman', 'Paul Derringer', 'Paul Erickson', 'Claude Passeau', 'Ray Prim', 'Hy Vandenberg', 'Hank Wyse']","['https://www.baseball-almanac.com/players/player.php?p=bentoal01', 'https://www.baseball-almanac.com/players/player.php?p=bridgto01', 'https://www.baseball-almanac.com/players/player.php?p=castege01', 'https://www.baseball-almanac.com/players/player.php?p=muellle01', 'https://www.baseball-almanac.com/players/player.php?p=newhoha01', 'https://www.baseball-almanac.com/players/player.php?p=overmst01', 'https://www.baseball-almanac.com/players/player.php?p=tobinji01', 'https://www.baseball-almanac.com/players/player.php?p=troutdi01', 'https://www.baseball-almanac.com/players/player.php?p=truckvi01']","['https://www.baseball-almanac.com/players/player.php?p=borowha01', 'https://www.baseball-almanac.com/players/player.php?p=chipmbo01', 'https://www.baseball-almanac.com/players/player.php?p=derripa01', 'https://www.baseball-almanac.com/players/player.php?p=erickpa01', 'https://www.baseball-almanac.com/players/player.php?p=passecl01', 'https://www.baseball-almanac.com/players/player.php?p=primra01', 'https://www.baseball-almanac.com/players/player.php?p=vandehy01', 'https://www.baseball-almanac.com/players/player.php?p=wyseha01']","[{'pitcher_name': 'Al Benton', 'link': 'https://www.baseball-almanac.com/players/player.php?p=bentoal01'}, {'pitcher_name': 'Tommy Bridges', 'link': 'https://www.baseball-almanac.com/players/player.php?p=bridgto01'}, {'pitcher_name': 'George Caster', 'link': 'https://www.baseball-almanac.com/players/player.php?p=castege01'}, {'pitcher_name': 'Les Mueller', 'link': 'https://www.baseball-almanac.com/players/player.php?p=muellle01'}, {'pitcher_name': 'Hal Newhouser', 'link': 'https://www.baseball-almanac.com/players/player.php?p=newhoha01'}, {'pitcher_name': 'Stubby Overmire', 'link': 'https://www.baseball-almanac.com/players/player.php?p=overmst01'}, {'pitcher_name': 'Jim Tobin', 'link': 'https://www.baseball-almanac.com/players/player.php?p=tobinji01'}, {'pitcher_name': 'Dizzy Trout', 'link': 'https://www.baseball-almanac.com/players/player.php?p=troutdi01'}, {'pitcher_name': 'Virgil Trucks', 'link': 'https://www.baseball-almanac.com/players/player.php?p=truckvi01'}]","[{'pitcher_name': 'Hank Borowy', 'link': 'https://www.baseball-almanac.com/players/player.php?p=borowha01'}, {'pitcher_name': 'Bob Chipman', 'link': 'https://www.baseball-almanac.com/players/player.php?p=chipmbo01'}, {'pitcher_name': 'Paul Derringer', 'link': 'https://www.baseball-almanac.com/players/player.php?p=derripa01'}, {'pitcher_name': 'Paul Erickson', 'link': 'https://www.baseball-almanac.com/players/player.php?p=erickpa01'}, {'pitcher_name': 'Claude Passeau', 'link': 'https://www.baseball-almanac.com/players/player.php?p=passecl01'}, {'pitcher_name': 'Ray Prim', 'link': 'https://www.baseball-almanac.com/players/player.php?p=primra01'}, {'pitcher_name': 'Hy Vandenberg', 'link': 'https://www.baseball-almanac.com/players/player.php?p=vandehy01'}, {'pitcher_name': 'Hank Wyse', 'link': 'https://www.baseball-almanac.com/players/player.php?p=wyseha01'}]"
